spectacle_id;Titre;Auteur;Description;Date;Heure Début;Heure Fin;lat;lng;image
508;Jeux d'enfants;Guillaume Martial;Des photographies de jeux d’enfants installées sur un jeu d’enfants... ;23-avr;06h49;20h36;43.630927;3.892193;http://zat.montpellier.fr/thumb/9-gamezone.jpg/w/465
508;Jeux d'enfants;Guillaume Martial;Des photographies de jeux d’enfants installées sur un jeu d’enfants... ;24-avr;06h48;20h38;43.630927;3.892193;http://zat.montpellier.fr/thumb/9-gamezone.jpg/w/465
508;Jeux d'enfants;Guillaume Martial;Des photographies de jeux d’enfants installées sur un jeu d’enfants... ;25-avr;06h49;20h39;43.630927;3.892193;http://zat.montpellier.fr/thumb/9-gamezone.jpg/w/465
509;Kandahar;Émeric Lhuisset et Aman Mojadidi;Un transat en kit, comme dans un catalogue de mobilier suédois. Mais ses montants sont des armes.;23-avr; 09h00;19h00;43.631105;3.891667;http://zat.montpellier.fr/thumb/9-kandahar.jpg/w/465
509;Kandahar;Émeric Lhuisset et Aman Mojadidi;Un transat en kit, comme dans un catalogue de mobilier suédois. Mais ses montants sont des armes.;24-avr;09h00;19h00;43.631105;3.891667;http://zat.montpellier.fr/thumb/9-kandahar.jpg/w/465
509;Kandahar;Émeric Lhuisset et Aman Mojadidi;Un transat en kit, comme dans un catalogue de mobilier suédois. Mais ses montants sont des armes.;25-avr;09h00;19h00;43.631105;3.891667;http://zat.montpellier.fr/thumb/9-kandahar.jpg/w/465
512;L'arbre à chut;labopc;Des dizaines de postes radio pendus à ses branches soufflent en silence dans la forêt. ;23-avr;06h49;20h36;43.628449;3.890637;http://zat.montpellier.fr/thumb/9-l-arbre-a-chut.jpg/w/465
512;L'arbre à chut;labopc;Des dizaines de postes radio pendus à ses branches soufflent en silence dans la forêt. ;24-avr;06h48;20h38;43.628449;3.890637;http://zat.montpellier.fr/thumb/9-l-arbre-a-chut.jpg/w/465
512;L'arbre à chut;labopc;Des dizaines de postes radio pendus à ses branches soufflent en silence dans la forêt. ;25-avr;06h46;20h39;43.628449;3.890637;http://zat.montpellier.fr/thumb/9-l-arbre-a-chut.jpg/w/465
537;Le Mérictionnaire;"Pascal 
Le Brun-Cordier - David Olivari";Explorez Méric avec des amateurs du parc, des artistes et des spécialistes de Bazille et de la biodiversité.;23-avr; 10h00;19h00;43.632014;3.891624;http://zat.montpellier.fr/thumb/9-merictionnaire.jpg/w/465
537;Le Mérictionnaire;"Pascal 
Le Brun-Cordier - David Olivari";Explorez Méric avec des amateurs du parc, des artistes et des spécialistes de Bazille et de la biodiversité.;24-avr;10h00;19h00;43.632014;3.891624;http://zat.montpellier.fr/thumb/9-merictionnaire.jpg/w/465
537;Le Mérictionnaire;"Pascal 
Le Brun-Cordier - David Olivari";Explorez Méric avec des amateurs du parc, des artistes et des spécialistes de Bazille et de la biodiversité.;25-avr;10h00;19h00;43.632014;3.891624;http://zat.montpellier.fr/thumb/9-merictionnaire.jpg/w/465
559;Le Vertige;Stéphan Oliva;"Le pianiste Stéphan Oliva propose des improvisations sur quatre thèmes. 
";24-avr;11h00;11h30;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-le-vertige.jpg/w/465
531;Les contes dits du bout des doigts;Compagnie Les Compagnons de Pierre Ménard;S’asseoir sur un tapis, au bout de la prairie, et écouter des histoires... ;23-avr;15h30;16h30;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-les-contes-dits-du-bouut-des-doigts.jpg/w/465
531;Les contes dits du bout des doigts;Compagnie Les Compagnons de Pierre Ménard;S’asseoir sur un tapis, au bout de la prairie, et écouter des histoires... ;23-avr;17h15;18h15;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-les-contes-dits-du-bouut-des-doigts.jpg/w/465
531;Les contes dits du bout des doigts;Compagnie Les Compagnons de Pierre Ménard;S’asseoir sur un tapis, au bout de la prairie, et écouter des histoires... ;24-avr;11h30;12h30;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-les-contes-dits-du-bouut-des-doigts.jpg/w/465
531;Les contes dits du bout des doigts;Compagnie Les Compagnons de Pierre Ménard;S’asseoir sur un tapis, au bout de la prairie, et écouter des histoires... ;24-avr;15h00;16h00;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-les-contes-dits-du-bouut-des-doigts.jpg/w/465
531;Les contes dits du bout des doigts;Compagnie Les Compagnons de Pierre Ménard;S’asseoir sur un tapis, au bout de la prairie, et écouter des histoires... ;25-avr;11h30;12h30;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-les-contes-dits-du-bouut-des-doigts.jpg/w/465
531;Les contes dits du bout des doigts;Compagnie Les Compagnons de Pierre Ménard;S’asseoir sur un tapis, au bout de la prairie, et écouter des histoires... ;25-avr;15h30;16h30;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-les-contes-dits-du-bouut-des-doigts.jpg/w/465
538;Les contes du pêcheur perché;Jordi Cardoner, Compagnie BAO;Dans le Lez, on pêche d’étranges histoires. Jordi Cardoner les partage avec nous.;25-avr; 11h00;12h00;43.629319;3.893614;http://zat.montpellier.fr/thumb/9-le-pecheur-du-lez.jpg/w/465
538;Les contes du pêcheur perché;Jordi Cardoner, Compagnie BAO;Dans le Lez, on pêche d’étranges histoires. Jordi Cardoner les partage avec nous.;25-avr;18h00;19h00;43.629319;3.893614;http://zat.montpellier.fr/thumb/9-le-pecheur-du-lez.jpg/w/465
