"FID_","DÉNOMINATI","VOIE_DE_GE","VOIE_PORTÉ","OBSTACLE_F","IDENTIFIAN","STRUCTURE","TYPE_VISIT","INDICE_DE_","GESTIONNAI","SECTEUR","TRAMWAY","OUVERTURE_","LONGUEUR__","LARGEUR_UT","SURFACE_AU","NUM__ORDRE"
,"Einstein - Nobel / La Lironde","Carrefour Av. Albert Einstein - R. Alfred Nobel","Carrefour Av. Albert Einstein - R. Alfred Nobel","La Lironde","06-02D-317","Cadre fermé PICF","IQOA",1,"SUBDIVISION 1","PM"," ",5,"5,9","50,5","297,95",25
,"Pierre Mendès France / Pompignane","Avenue Président Pierre MENDES FRANCE","Avenue Président Pierre MENDES FRANCE","Avenue de la POMPIGNANE","06-03C-102","Dalle pleine PSIDP","IDP",3,"SUBDIVISION 1","PM"," ","41,2","43,6","14,75","643,1",26
,"Pont Raymond CHAULIAC","Avenue Président Pierre MENDES FRANCE","Avenue Président Pierre MENDES FRANCE","Le Lez","06-03D-101","Dalle pleine PSIDP","IDP",3,"SUBDIVISION 1","PM"," ","79,8","80,8","14,75","1191,8",27
,"Vinci / Pierre Mendès France","Rue Léonard DE VINCI","Rue Léonard DE VINCI","Avenue Président Pierre MENDES FRANCE","06-03D-103","Dalle pleine PSIDP","IDP",3,"SUBDIVISION 1","PM"," ","56,8",60,8,480,28
,"Pont Jean Zuccarelli","Avenue Marie de MONTPELLIER","Avenue Marie de MONTPELLIER","Le Lez","06-03D-119","Dalle pleine PSIDP","IDP",1,"SUBDIVISION 1","PM","L1","72,26","79,9",29,"2317,1",29
,"Passerelle du Moulin de l'Evêque","Passerelle du MOULIN DE L'EVEQUE","Passerelle du MOULIN DE L'EVEQUE","Le Lez","06-04D-121","Ossature métallique","IQOA",1,"SUBDIVISION 1","PM"," ",0,78,"2,7","210,6",30
,"Castelnau / Le Chambéry","Avenue de CASTELNAU","Avenue de CASTELNAU","Le Chambéry","07-01A-312D","Voute en arc surbaissé","IDP",5,"SUBDIVISION 2","MC2"," ","3,7","7,2","8,5","61,2",32
,"Tour Buffel / Liberté","Rue de la TOUR BUFFEL","Rue de la TOUR BUFFEL","Avenue de la LIBERTE","07-01C-313","Voute en arc surbaissé","IDP",4,"SUBDIVISION 2","MC3"," ","15,8",23,"3,85","88,55",33
,"Delmas / Le Lez","Avenue François DELMAS","Avenue François DELMAS","Le Lez","07-01D-111","Voute plein cintre","IDP",3,"SUBDIVISION 1","H-F"," ",0,"83,5","12,6","1052,1",34
,"Lunaret / Chambéry","Rue LUNARET","Rue LUNARET","Le Chambéry","07-02A-312B","Dalle pleine PSIDA","IDP",4,"SUBDIVISION 1","MC2"," ","2,6",3,"7,6","22,8",35
,"Sauvages / Ollivier","Quai des SAUVAGES","Quai des SAUVAGES","Rue Aristide OLLIVIER","07-02A-416","Poutrelles enrobées","IQOA",1,"SUBDIVISION 2","MC3"," ","8,5",10,20,200,36
,"Liberté / Anterrieu","Avenue de la LIBERTE","Avenue de la LIBERTE","Rue ANTERRIEU","07-02B-202","Poutres béton armé PBA","IQOA",3,"SUBDIVISION 2","MC3"," ",6,"8,8","9,3","81,84",50
,"Liberté / Faubourg Figuerolles","Avenue de la LIBERTE","Avenue de la LIBERTE","Rue du FAUBOURG FIGUEROLLES","07-02B-203","Poutres béton armé PBA","IDP","S","SUBDIVISION 2","MC3"," ",12,"14,5","10,4","147,03",51
