"OBJECTID","NOMOBJ","NUMOBJ","MARQUE","SUPPORT","DIM","CDCOM","BISTER","CDRUE","NORUE","METRAGE","QUART","SSQUART","CANTON","OBSERV","Coord_x","Coord_y"
153,"P.A.L","149,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"866,00000000000","202,00000000000","0,00000000000","7","27","3",,"3,89177920491272","43,6143157045247"
154,"P.A.L","139,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"978,00000000000","49,00000000000","0,00000000000","6","18","4",,"3,89086142270227","43,6174722521923"
157,"P.A.L","137,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1570,00000000000","20,00000000000","0,00000000000","6","18","4",,"3,89085663906051","43,619031114179"
158,"P.A.L","277,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"2199,00000000000","420,00000000000","0,00000000000","5","16","5",,"3,8969357630389","43,5905968483009"
166,"P.A.L","144,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1777,00000000000","0,00000000000","0,00000000000","6","19","4",,"3,89906218804544","43,609433925898"
167,"P.A.L","145,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1777,00000000000","0,00000000000","0,00000000000","6","19","4",,"3,89886770687932","43,6092960164603"
168,"P.A.L","142,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1777,00000000000","0,00000000000","0,00000000000","6","19","4",,"3,89910815418814","43,6093077226423"
170,"P.A.L","158,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1777,00000000000","0,00000000000","0,00000000000","6","19","4",,"3,89885249552936","43,6093401006761"
171,"P.A.L","143,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1777,00000000000","0,00000000000","0,00000000000","6","19","4",,"3,89908917811245","43,6093671225198"
172,"P.A.L","159,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"2324,00000000000","0,00000000000","0,00000000000","6","19","4",,"3,90841242572327","43,6094841283778"
174,"P.A.L","155,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1748,00000000000","826,00000000000","0,00000000000","6","19","4",,"3,90367672226859","43,6157159237051"
175,"P.A.L","138,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1921,00000000000","0,00000000000","0,00000000000","6","18","4",,"3,8937972661891","43,6185386158348"
176,"P.A.L","136,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"2018,00000000000","20,00000000000","0,00000000000","6","18","4",,"3,8923704689246","43,6188298112307"
177,"P.A.L","400,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"463,00000000000","130,00000000000","0,00000000000","6","19","4",,"3,8985893854194","43,6188555263182"
178,"P.A.L","396,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1954,00000000000","52,00000000000","0,00000000000","6","18","4",,"3,89476882633462","43,6216131224711"
181,"P.A.L","357,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1412,00000000000","431,00000000000","0,00000000000","2","5","9",,"3,81551268698929","43,6252327831433"
183,"P.A.L","375,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"539,00000000000","223,00000000000","0,00000000000","2","4","9",,"3,87021837403323","43,6307154272725"
187,"P.A.L","363,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1359,00000000000","70,00000000000","0,00000000000","2","5","9",,"3,81981319986561","43,6275804037296"
193,"P.A.L","368,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1840,00000000000","0,00000000000","0,00000000000","2","4","9",,"3,81826971694564","43,6362045007304"
194,"P.A.L","369,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1730,00000000000","167,00000000000","0,00000000000","2","4","9",,"3,81873456806589","43,6383283056213"
196,"P.A.L","372,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1190,00000000000","25,00000000000","0,00000000000","2","4","9",,"3,81795580728467","43,6408171814215"
197,"P.A.L","371,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1730,00000000000","400,00000000000","0,00000000000","2","4","9",,"3,819494500094","43,6402152141973"
199,"P.A.L","392,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"746,00000000000","48,00000000000","0,00000000000","1","2","10",,"3,83674100178262","43,616846247508"
200,"P.A.L","56,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1261,00000000000","37,00000000000","0,00000000000","1","2","2",,"3,89964237185871","43,6057986122353"
201,"P.A.L","57,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1261,00000000000","107,00000000000","0,00000000000","1","2","2",,"3,86407260463497","43,6261534587722"
208,"P.A.L","67,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"408,00000000000","20,00000000000","0,00000000000","1","1","2",,"3,86026552649541","43,6322874280063"
209,"P.A.L","66,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"886,00000000000","2,00000000000","0,00000000000","1","2","2",,"3,86021877013153","43,6322181947055"
211,"P.A.L","63,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"997,00000000000","0,00000000000","0,00000000000","1","2","2","ENTREE RESTO UNIVERS","3,86056729750176","43,6307740751883"
214,"P.A.L","69,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1616,00000000000","99,00000000000","0,00000000000","1","2","2",,"3,85026543685438","43,6347940023241"
215,"P.A.L","68,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1616,00000000000","99,00000000000","0,00000000000","1","2","2",,"3,8506164512295","43,6348853740154"
216,"P.A.L","286,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"641,00000000000","453,00000000000","0,00000000000","1","1","2",,"3,85431010409178","43,6393104342932"
217,"P.A.L","104,00000000000","MATRIX","POTEAUX IPN","120 X 160","34172,00000000000",,"408,00000000000","543,00000000000","0,00000000000","1","1","2",,"3,8598765659026","43,6368089909109"
218,"P.A.L","72,00000000000","MATRIX","POTEAUX IPN","120 X 160","34172,00000000000",,"1277,00000000000","0,00000000000","0,00000000000","1","1","2",,"3,8577142243449","43,6406956562173"
219,"P.A.L","73,00000000000","MATRIX","POTEAUX IPN","120 X 160","34172,00000000000",,"1277,00000000000","0,00000000000","0,00000000000","1","1","2",,"3,85812069042123","43,6403915300672"
221,"P.A.L","53,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"635,00000000000","0,00000000000","0,00000000000","1","2","3",,"3,87018230218855","43,6267256355877"
222,"P.A.L","52,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"635,00000000000","0,00000000000","0,00000000000","1","2","3",,"3,87025179982432","43,6268082653472"
223,"P.A.L","99,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1337,00000000000","0,00000000000","0,00000000000","1","3","3",,"3,87742807247946","43,6261777840895"
224,"P.A.L","77,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1337,00000000000","0,00000000000","0,00000000000","1","3","3",,"3,87929930218554","43,6256994204683"
225,"P.A.L","97,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1518,00000000000","735,00000000000","0,00000000000","1","1","2",,"3,86997057321998","43,6291336213424"
227,"P.A.L","91,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"2142,00000000000","145,00000000000","0,00000000000","1","2","2",,"3,87037205038449","43,6304773930556"
231,"P.A.L","70,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1749,00000000000","1180,00000000000","0,00000000000","1","3","3",,"3,87864268659923","43,6306083156065"
234,"P.A.L","93,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1545,00000000000","675,00000000000","0,00000000000","1","3","3",,"3,88139223610076","43,6282782072069"
236,"P.A.L","32,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1811,00000000000","2,00000000000","0,00000000000","1","2","2",,"3,86785298513452","43,6348401194874"
240,"P.A.L","103,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"457,00000000000","0,00000000000","0,00000000000","1","2","2",,"3,86951973003251","43,6381616985165"
243,"P.A.L","90,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"2093,00000000000","1000,00000000000","0,00000000000","1","1","2",,"3,87368365141324","43,6383703335099"
244,"P.A.L","71,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1834,00000000000","153,00000000000","0,00000000000","1","1","2",,"3,85619634374705","43,6418633070162"
246,"P.A.L","160,00000000000",,,,"0,00000000000",,"0,00000000000","0,00000000000","0,00000000000",,,,,"3,89852898917827","43,6044082509115"
247,"P.A.L","161,00000000000",,,,"0,00000000000",,"0,00000000000","0,00000000000","0,00000000000",,,,,"3,89853645521281","43,604356015531"
248,"P.A.L","256,00000000000",,,,"0,00000000000",,"0,00000000000","0,00000000000","0,00000000000",,,,,"3,89884025009807","43,6064292985333"
249,"P.A.L","273,00000000000",,,,"0,00000000000",,"0,00000000000","0,00000000000","0,00000000000",,,,,"3,85816856407992","43,6318531784806"
