MAPINFO_ID,dossier,aire_de_jeux,nom_aire,Total,_1_à_4_ans,_1_à_5_ans,_1_à_6_ans,_10_à_15_ans,_14_et_plus,_2_à_10_ans,_2_à_12_ans,_2_à_15__ans,_2_à_4_ans,_2_à_5_ans,_2_à_6_ans,_2_à_7_ans,_2_à_8_ans,_3_à_12_ans,_3_à_15__ans,_3_à_6_ans,_3_à_7_ans,_3_à_8_ans,_3_à_9_ans,_4_à_10_ans,_4_à_12_ans,_4_à_15__ans,_4_à_6_ans,_4_à_8_ans,_5_à_12_ans,_5_à_15__ans,_5_à_8_ans,_6_à_12_ans,_6_à_14_ans,_6_à_15__ans,_7_à_14_ans,Longitude,Latitude
76,1105,126,Billie Holiday,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"3,835554","43,637858"
77,971,127,Aire Bartolomé de Las Casas,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,844599","43,616327"
78,1010,128,Aire de jeux des Papyrus,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,"3,85036","43,62073"
79,709,129,Aire de jeux Joseph Delteil,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"3,838566","43,616204"
80,1032,130,Aire de jeux rue Vien,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,873982","43,609276"
81,781,131,Aire de jeux de la Cathédrale,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"3,874957","43,613349"
82,1034,132,Aire de jeux A. Bramante,6,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,835712","43,631358"
83,1038,133,Aires du Parc Saint Fiacre,5,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,832153","43,632918"
84,815,135,Aire de jeux des Patriotes,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,893703","43,601693"
85,538,136,Aire Aiguelongue basse,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"3,873069","43,629387"
86,1069,137,Ovalie : Parc du Belvédère,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,"3,846401","43,590648"
87,250,138,Square piscine Mosson,6,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3,815344","43,620763"
88,589,139,Square de la Providence,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,875519","43,613858"
89,659,140,Fitness Richter,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,897823","43,605081"
90,15,141,Fitness Bois de Montmaur,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,872226","43,640401"
91,783,142,Camille Ernst,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,878535","43,618491"
92,1025,143,Aire de jeux de Fontcolombe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"3,830477","43,597382"
93,10,144,Fitness Lac des Garrigues,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,816663","43,637041"
94,19,145,Fitness Champ de Mars,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,881673","43,611613"
95,1,146,Fitness Paul Valéry,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,844821","43,598842"
96,995,147,Le Tintoret,6,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"3,911396","43,605811"
97,1112,148,Père Bonnet,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,866269","43,606723"
