"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"AIMES               ","Allée Professeur Aimes                                          ",1,99999,"I","Ecole Maternelle Luis de CAMOENS                            "
"AIMES               ","Allée Professeur Aimes                                          ",2,99998,"P","Ecole Maternelle Luis de CAMOENS                            "
"AIRE                ","Rue de l'Aire                                                   ",1,99999,"I","Ecole Maternelle FLORIAN                                    "
"AIRE                ","Rue de l'Aire                                                   ",2,99998,"P","Ecole Maternelle FLORIAN                                    "
"AJACCIO             ","Rue d'Ajaccio                                                   ",1,99999,"I","Ecole Maternelle COPERNIC                                   "
"AJACCIO             ","Rue d'Ajaccio                                                   ",2,99998,"P","Ecole Maternelle COPERNIC                                   "
"ALAUZET             ","Rue Alauzet                                                     ",1,99999,"I","Ecole Maternelle Pauline KERGOMARD                          "
"ALAUZET             ","Rue Alauzet                                                     ",2,99998,"P","Ecole Maternelle Pauline KERGOMARD                          "
"ALBATROS            ","Rue des Albatros                                                ",1,99999,"I","Ecole Maternelle Louise MICHEL                              "
"ALBATROS            ","Rue des Albatros                                                ",2,99998,"P","Ecole Maternelle Louise MICHEL                              "
"ALBE                ","Rue d'Albe                                                      ",1,99999,"I","Ecole Maternelle Ludwig Van BEETHOVEN                       "
"ALBE                ","Rue d'Albe                                                      ",2,99998,"P","Ecole Maternelle Ludwig Van BEETHOVEN                       "
"ALBERES             ","Allée des Albères                                               ",1,99999,"I","Ecole Maternelle Agrippa d'AUBIGNE                          "
"ALBERES             ","Allée des Albères                                               ",2,99998,"P","Ecole Maternelle Agrippa d'AUBIGNE                          "
"ALBERT 1ER          ","Place Albert 1er                                                ",1,99999,"I","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"ALBERT 1ER          ","Place Albert 1er                                                ",2,99998,"P","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"ALBERT MARCELLIN    ","Rue Marcellin Albert                                            ",1,99999,"I","Ecole Maternelle Marie PAPE-CARPANTIER                      "
"ALBERT MARCELLIN    ","Rue Marcellin Albert                                            ",2,99998,"P","Ecole Maternelle Marie PAPE-CARPANTIER                      "
"ALBIGEOIS           ","Rue de l'Albigeois                                              ",1,99999,"I","Ecole Maternelle Virginia WOOLF                             "
"ALBIGEOIS           ","Rue de l'Albigeois                                              ",2,99998,"P","Ecole Maternelle Virginia WOOLF                             "
"ALBISSON            ","Rue d'Albisson                                                  ",1,99999,"I","Ecole Maternelle PASTEUR                                    "
"ALBISSON            ","Rue d'Albisson                                                  ",2,99998,"P","Ecole Maternelle PASTEUR                                    "
"ALCO                ","Rue d'Alco                                                      ",1,477,"I","Ecole Maternelle Rudyard  KIPLING                           "
"ALCO                ","Rue d'Alco                                                      ",479,99999,"I","Ecole Maternelle Geneviève BON                              "
"ALCO                ","Rue d'Alco                                                      ",2,486,"P","Ecole Maternelle Rudyard  KIPLING                           "
"ALCO                ","Rue d'Alco                                                      ",488,856,"P","Ecole Maternelle Madeleine BRES                             "
"ALCO                ","Rue d'Alco                                                      ",858,99998,"P","Ecole Maternelle Victor DURUY                               "
"ALCO                ","Rond-point d'Alco                                               ",1,99999,"I","Ecole Maternelle Virginia WOOLF                             "
"ALCO                ","Rond-point d'Alco                                               ",2,99998,"P","Ecole Maternelle Virginia WOOLF                             "
"ALCYONE             ","Rue Alcyone                                                     ",1,99999,"I","Ecole Maternelle Louise MICHEL                              "
"ALCYONE             ","Rue Alcyone                                                     ",2,99998,"P","Ecole Maternelle Louise MICHEL                              "
"ALEMBERT            ","Rue d'Alembert                                                  ",1,99999,"I","Ecole Maternelle Jean COCTEAU                               "
"ALEMBERT            ","Rue d'Alembert                                                  ",2,99998,"P","Ecole Maternelle Jean COCTEAU                               "
"ALEXANDRE LANGLADE  ","Rue Alexandre Langlade                                          ",1,99999,"I","Ecole maternelle aliénor d'AQUITAINE                        "
"ALEXANDRE LANGLADE  ","Rue Alexandre Langlade                                          ",2,99998,"P","Ecole maternelle aliénor d'AQUITAINE                        "
"ALEXANDRIE          ","Carrefour d'Alexandrie                                          ",1,99999,"I","Ecole Primaire Michel de l'HOSPITAL                         "
"ALEXANDRIE          ","Carrefour d'Alexandrie                                          ",2,99998,"P","Ecole Primaire Michel de l'HOSPITAL                         "
"ALEXIS              ","Rue Saint Alexis                                                ",1,99999,"I","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"ALEXIS              ","Rue Saint Alexis                                                ",2,99998,"P","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"ALGER               ","Rue d'Alger                                                     ",1,99999,"I","Ecole Maternelle Louis FIGUIER                              "
"ALGER               ","Rue d'Alger                                                     ",2,99998,"P","Ecole Maternelle Louis FIGUIER                              "
"ALISIERS            ","Rue des Alisiers                                                ",1,99999,"I","Ecole Maternelle Geneviève BON                              "
"ALISIERS            ","Rue des Alisiers                                                ",2,99998,"P","Ecole Maternelle Geneviève BON                              "
"ALIZES              ","Carrefour des Alizés                                            ",1,99999,"I","Ecole Maternelle Simone SIGNORET                            "
"ALIZES              ","Carrefour des Alizés                                            ",2,99998,"P","Ecole Maternelle Simone SIGNORET                            "
"ALKINOOS            ","Rue des Jardins d'Alkinoos                                      ",1,99999,"I","Ecole Primaire François MITTERAND (Mater)                   "
"ALKINOOS            ","Rue des Jardins d'Alkinoos                                      ",2,99998,"P","Ecole Primaire François MITTERAND (Mater)                   "
"ALL BLACKS          ","Rue des All Blacks                                              ",2,99998,"P","Ecole Primaire OLYMPE DE GOUGES                             "
"ALL BLACKS          ","Rue des All Blacks                                              ",1,99999,"I","Ecole Primaire OLYMPE DE GOUGES                             "
