"HIERARCHIE,C,50","IDARC,N,10,0","CODE_VOIE,C,4","DATE_DCM,D","LIB_OFF,C,254","LIBTRI,C,254","TYPVOI,C,4","NOMVOI,C,80","DOMANIALIT,C,50","SENS_CIRCU,C,50","LONGUEUR,N,19,8","OCCUPATION,C,50","RIVOLI_DGI,C,50","NOTE,C,80","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","LEN,N,19,11"
,8433,"3307",24/10/02,"Allée du Sauvignon","Sauvignon (Allée du)","ALL","DU SAUVIGNON","Privée","DOUBLE SENS","89,40000153",,"08230",,"N",,,"89,4281169766"
,8452,"1817",,"Avenue du Professeur Louis Ravaz","Ravaz (Avenue du Professeur Louis)","AV","DU PROFESSEUR LOUIS RAVAZ","Publique","DOUBLE SENS","144,6000061",,"04666",,"N",,,"144,692784089"
,8472,"2192",12/07/85,"Rue Jean Vilar","Vilar (Rue Jean)","RUE","JEAN VILAR","Privée","DOUBLE SENS",79,,"03004",,"N",,,"79,0143260586"
,8473,"2192",12/07/85,"Rue Jean Vilar","Vilar (Rue Jean)","RUE","JEAN VILAR","Privée","DOUBLE SENS","42,79999924",,"03004",,"N",,,"42,8107314928"
,8492,"1177",17/03/75,"Rue du Grenache","Grenache (Rue du)","RUE","DU GRENACHE","Privée","SENS UNIQUE","47,70000076",,"02678",,"N",,,"47,7458642176"
,8493,"1177",17/03/75,"Rue du Grenache","Grenache (Rue du)","RUE","DU GRENACHE","Privée","SENS UNIQUE","38,59999847",,"02678",,"N",,,"38,6297132231"
,8494,"1177",17/03/75,"Rue du Grenache","Grenache (Rue du)","RUE","DU GRENACHE","Privée","SENS UNIQUE","71,90000153",,"02678",,"N",,,"71,924890573"
,8512,"1582",23/06/88,"Impasse du Muscadet","Muscadet (Impasse du)","IMP","DU MUSCADET","Publique","DOUBLE SENS","12,89999962",,"03919","Classée par acte notarié le 31/01/2008","N",,,"12,9046977221"
,8513,"1582",23/06/88,"Impasse du Muscadet","Muscadet (Impasse du)","IMP","DU MUSCADET","Publique","DOUBLE SENS",11,,"03919","Classée par acte notarié le 31/01/2008","N",,,"10,9730963479"
,8514,"1582",23/06/88,"Impasse du Muscadet","Muscadet (Impasse du)","IMP","DU MUSCADET","Publique","DOUBLE SENS","11,69999981",,"03919","Classée par acte notarié le 31/01/2008","N",,,"11,7519385462"
,8515,"1582",23/06/88,"Impasse du Muscadet","Muscadet (Impasse du)","IMP","DU MUSCADET","Publique","DOUBLE SENS","18,70000076",,"03919","Classée par acte notarié le 31/01/2008","N",,,"18,7227448962"
,8516,"1582",23/06/88,"Impasse du Muscadet","Muscadet (Impasse du)","IMP","DU MUSCADET","Publique","DOUBLE SENS",80,,"03919","Classée par acte notarié le 31/01/2008","N",,,"80,0468980874"
,8517,"1582",23/06/88,"Impasse du Muscadet","Muscadet (Impasse du)","IMP","DU MUSCADET","Publique","DOUBLE SENS","17,89999962",,"03919","Classée par acte notarié le 31/01/2008","N",,,"17,9473401352"
,8552,"2150",02/04/73,"Avenue Xavier de Ricard","Ricard (Avenue Xavier de)","AV","XAVIER DE RICARD","Publique","DOUBLE SENS","162,8999939",,"05880",,"N",,,"162,966036715"
,8572,"541",,"Rue de la Bandido","Bandido (Rue de la)","RUE","DE LA BANDIDO","Publique","DOUBLE SENS","141,80000305",,"00485",,"N",,,"141,828832488"
,8573,"541",,"Rue de la Bandido","Bandido (Rue de la)","RUE","DE LA BANDIDO","Publique","DOUBLE SENS","29,5",,"00485",,"N",,,"29,5516167627"
,16573,"1678",27/03/72,"Boulevard Paul Valéry","Valéry (Boulevard Paul)","BD","PAUL VALERY","Publique départementale","DOUBLE SENS","76,19999695",,"04215","RD 65","N",,,"76,1998099684"
,16592,"2283",23/04/87,"Rue du Latium","Latium (Rue du)","RUE","DU LATIUM","Publique","DOUBLE SENS","135,5",,"03179",,"N",,,"135,506791639"
,16632,"1446",18/10/65,"Avenue du Maréchal Leclerc","Leclerc (Avenue du Maréchal)","AV","DU MARECHAL LECLERC","Publique","DOUBLE SENS","64,69999695",,"03470",,"N",,,"64,7038596061"
,16652,"2783",31/01/91,"Rue Edouard Cartailhac","Cartailhac (Rue Edouard)","RUE","EDOUARD CARTAILHAC","Publique","DOUBLE SENS","72,19999695",,"01928",,"N",,,"72,2371325486"
,16653,"1493",17/11/75,"Rue du Mas de Prunet","Mas de Prunet (Rue du)","RUE","DU MAS DE PRUNET","Publique","DOUBLE SENS","106,5",,"03608",,"N",,,"106,501713079"
,16654,"617",18/10/65,"Rue des Bouisses","Bouisses (Rue des)","RUE","DES BOUISSES","Publique","DOUBLE SENS","25,89999962",,"00785",,"N",,,"25,8817167545"
,16656,"3451",22/06/09,"Place Antonio Machado","Machado (Place Antonio)","PL","ANTONIO MACHADO","Publique",,"35,29999924",,,,"N",,,"35,3263274096"
,16657,"3451",22/06/09,"Place Antonio Machado","Machado (Place Antonio)","PL","ANTONIO MACHADO","Publique",,"13,60000038",,,,"N",,,"13,6118588007"
,16658,"3451",22/06/09,"Place Antonio Machado","Machado (Place Antonio)","PL","ANTONIO MACHADO","Publique",,"16,29999924",,,,"N",,,"16,3178130977"
,16659,"3451",22/06/09,"Place Antonio Machado","Machado (Place Antonio)","PL","ANTONIO MACHADO","Publique",,"21,89999962",,,,"N",,,"21,9344652886"
,16672,"2145",15/04/82,"Rue Voltaire","Voltaire (Rue)","RUE","VOLTAIRE","Publique","DOUBLE SENS","36,20000076","Piéton","05870",,"N",,,"36,2317555901"
,16695,"2300",23/04/87,"Avenue du Professeur Etienne Antonelli","Antonelli (Avenue du Professeur Etienne)","AV","DU PROFESSEUR ETIENNE ANTONELLI","Publique","DOUBLE SENS","51,40000153",,"04646",,"N","SERM","PORT MARIANNE - CONSULS DE MER","51,4300839408"
,16696,"3454",27/07/09,"Avenue Germaine Tillion","Tillion (Avenue Germaine)","AV","GERMAINE TILLION","Privée",,"432,1000061",,,,"N",,,"432,291542406"
,16697,"1784",19/04/67,"Avenue du Pont Trinquat","Pont Trinquat (Avenue du)","AV","DU PONT TRINQUAT","Publique","DOUBLE SENS","19,5",,"04562",,"N","SERM","PORT MARIANNE - CONSULS DE MER","19,4824982822"
,16732,"2296",23/04/87,"Rue des Acconiers","Acconiers (Rue des)","RUE","DES ACCONIERS","Publique","DOUBLE SENS","52,70000076",,"00063",,"N",,,"52,7400458287"
,16733,"2737",23/11/90,"Rue de la Courbe","Courbe (Rue de la)","RUE","DE LA COURBE","Publique","DOUBLE SENS",104,,"01572",,"N",,,"104,013262867"
,16734,"2296",23/04/87,"Rue des Acconiers","Acconiers (Rue des)","RUE","DES ACCONIERS","Publique","DOUBLE SENS","111,80000305",,"00063",,"N",,,"111,827092522"
,16735,"2737",23/11/90,"Rue de la Courbe","Courbe (Rue de la)","RUE","DE LA COURBE","Publique","DOUBLE SENS","51,40000153",,"01572",,"N",,,"51,4387640612"
,16792,"2864",09/12/91,"Allée Pierre Blanchet","Blanchet (Allée Pierre)","ALL","PIERRE BLANCHET","Privée","DOUBLE SENS","101,19999695",,"04366",,"N",,,"101,21819981"
,14992,"1420",25/07/89,"Rue de la Madeleine","Madeleine (Rue de la)","RUE","DE LA MADELEINE","Publique","DOUBLE SENS","114,4",,"03373",,"N","SERM","DES GRISETTES","114,375201702"
,6742,"1208",19/04/67,"Avenue de Heidelberg","Heidelberg (Avenue de)","AV","DE HEIDELBERG","Publique","DOUBLE SENS","163,6000061",,"02760",,"N",,,"163,686401427"
,6743,"1208",19/04/67,"Avenue de Heidelberg","Heidelberg (Avenue de)","AV","DE HEIDELBERG","Publique","DOUBLE SENS","60,5",,"02760",,"N",,,"60,4921480301"
,6745,"617",18/10/65,"Rue des Bouisses","Bouisses (Rue des)","RUE","DES BOUISSES","Publique","DOUBLE SENS","100,19999695",,"00785",,"N",,,"100,221756837"
,6769,"687",29/01/74,"Rue de la Cardonille","Cardonille (Rue de la)","RUE","DE LA CARDONILLE","Publique","DOUBLE SENS","123,19999695",,"01031",,"N",,,"123,277428571"
,6770,"687",29/01/74,"Rue de la Cardonille","Cardonille (Rue de la)","RUE","DE LA CARDONILLE","Publique","DOUBLE SENS","71,69999695",,"01031",,"N",,,"71,7173672343"
,6771,"3365",01/02/05,"Rue Serge Reggiani","Reggiani (Rue Serge)","RUE","SERGE REGGIANI","Privée","DOUBLE SENS","101,59999847",,"08281",,"N",,,"101,604331172"
,6772,"3365",01/02/05,"Rue Serge Reggiani","Reggiani (Rue Serge)","RUE","SERGE REGGIANI","Privée","DOUBLE SENS","113,80000305",,"08281",,"N",,,"113,839865877"
,6773,"3364",01/02/05,"Rue Claude Nougaro","Nougaro (Rue  Claude)","RUE","CLAUDE NOUGARO","Privée","DOUBLE SENS","90,69999695",,"08280",,"N",,,"90,7836324537"
,6774,"3364",01/02/05,"Rue Claude Nougaro","Nougaro (Rue  Claude)","RUE","CLAUDE NOUGARO","Privée","DOUBLE SENS","109,09999847",,"08280",,"N",,,"109,159663817"
,6775,"3366",01/02/05,"Impasse Franck Herbert","Herbert (Impasse Franck)","IMP","FRANCK HERBERT","Privée","DOUBLE SENS","53,09999847",,,,"N",,,"53,1145886636"
,6776,"3370",04/05/05,"Place Max Rouquette 1908 - 2005","Rouquette (Place Max)","PL","MAX ROUQUETTE    1908 - 2005","Publique","DOUBLE SENS","102,80000305",,,,"N",,,"102,817142548"
,18372,"1511",,"Avenue de Maurin","Maurin (Avenue de)","AV","DE MAURIN","Publique","DOUBLE SENS","82,9",,"03665",,"N",,,"82,917128076"
,4947,"2032",19/01/74,"Rue de la Taillade","Taillade (Rue de la)","RUE","DE LA TAILLADE","Publique","DOUBLE SENS","251,8",,"05423",,"N",,,"251,767673999"
,18376,"3054",28/11/95,"Place Yitzhak Rabin","Rabin (Place Yitzhak)","PL","YITZHAK RABIN","Publique","DOUBLE SENS","11,5",,"06154",,"N",,,"11,5186660656"
,2490,"1208",19/04/67,"Avenue de Heidelberg","Heidelberg (Avenue de)","AV","DE HEIDELBERG","Publique","DOUBLE SENS","111,9",,"02760",,"N",,,"111,881604056"
,17553,"3093",06/01/97,"Avenue Masséna","Masséna (Avenue)","AV","MASSENA","Publique","DOUBLE SENS",136,,"08026",,"N",,,"135,963790606"
,18377,"3054",28/11/95,"Place Yitzhak Rabin","Rabin (Place Yitzhak)","PL","YITZHAK RABIN","Publique","DOUBLE SENS","11,2",,"06154",,"N",,,"11,2393201596"
,2487,"1883",19/04/67,"Place Robert Schuman","Schuman (Place Robert)","PL","ROBERT SCHUMAN","Publique","SENS UNIQUE","48,8",,"04911",,"N",,,"48,8037867108"
,18375,"3362",28/06/04,"Impasse du Mas saint Pierre","Mas Saint Pierre (Impasse du)","IMP","DU MAS SAINT PIERRE","Privée","DOUBLE SENS","661,9",,"03640",,"N",,,"661,888913797"
