"IDENT","NOM","VLEGALE","REF","DDEBUT","DFIN","SENS","PHJM","PHJS","TJM","COMMENTAIR","MOIS","ANNEE","TYPECOMPTA","IDENTSIG"
"1950TR3972","Rue Saint Léon",50,"1539",39722,39728,"Abert-Canton",98,78,605,"#N/A",10,2008,"Pneumatique",3972
"1940TR38","Rue Saint Guilhem",50,"1949",40217,40223,"Martyrs-Paume",9,17,85,"#N/A",2,2010,"Pneumatique",38
"1940TR38","Rue Saint Guilhem",50,"1948",40217,40223,"Paume-Martyrs",10,9,55,"#N/A",2,2010,"Pneumatique",38
"1940TR5360","Rue Saint Guilhem",10,"874",38633,38639,"Castelane-Paume",85,79,748,"#N/A",10,2005,"Pneumatique",5360
"1940TR5360","Rue Saint Guilhem",10,"873",38633,38639,"Paume-Castelane",25,22,171,"#N/A",10,2005,"Pneumatique",5360
"1940TR5363","Rue Saint Guilhem",50,"638",37904,37910,"Loge-Paume",224,281,2108,"#N/A",10,2003,"Pneumatique",5363
"1940TR5373","Rue Saint Guilhem",50,"614",37786,37792,"Loge-Paume",255,322,2731,"#N/A",6,2003,"Pneumatique",5373
"1929TR5716","Rue Saint Cléophas",50,"2062",40353,40359,"Maurin-Toulouse",330,381,3082,"#N/A",6,2010,"Pneumatique",5716
"1929TR5716","Rue Saint Cléophas",50,"2063",40353,40359,"Toulouse-Maurin",268,325,3141,"#N/A",6,2010,"Pneumatique",5716
"1929TR1703","Rue Saint Cléophas",30,"1861",40086,40092,"Justice-Meric",36,51,415,"#N/A",9,2009,"Pneumatique",1703
"1929TR1703","Rue Saint Cléophas",30,"1856",40081,40087,"Maurin-Toulouse",461,558,4482,"#N/A",9,2009,"Pneumatique",1703
"1929TR5716","Rue Saint Cléophas",50,"1534",39725,39731,"Toulouse-Maurin",269,355,3007,"#N/A",10,2008,"Pneumatique",5716
"1929TR5716","Rue Saint Cléophas",50,"1533",39725,39731,"Maurin-Toulouse",387,582,3687,"#N/A",10,2008,"Pneumatique",5716
