"REG","uu","dc","nomc","iris","nom","note","A","AH","AF","AHLt25","AFLt25","AH2549","AF2549","AHGe50","AFGe50","BE","XEH","XEF","BTc","BTp","BCsC","BCs4","BCs5","BCs6","BCs6Q","BCs6NQ","BTypeA","BDom2","BDom3","BDom4","BDom5","BDom6","BDom7","BDom8","BDom9","CA17AZ","CA17DE","CA17C1","CA17C2","CA17C3","CA17C4","CA17C5","CA17FZ","CA17GZ","CA17HZ","CA17IZ","CA17JZ","CA17KZ","CA17LZ","CA17MN","CA17OQ","CA17RU"
"Code région","Code unité urbaine (agglomération)","Code département / commune","Nom de la commune","Code IRIS","Nom de la zone","Disponibilité (voir documentation)","Salariés","Hommes","Femmes","Hommes de moins de 25 ans","Femmes de moins de 25 ans","Hommes de 25 à moins de 50 ans","Femmes de 25 à moins de 50 ans","Hommes de 50 ans et +","Femmes de 50 ans et +","Etrangers","Hommes étrangers","Femmes étrangères","Temps complet","Temps partiel","CSP des salariés : Chefs d’entreprises et cadres","CSP des salariés : Professions intermédiaires","CSP des salariés : Employés","CSP des salariés : Ouvriers","CSP des salariés : Ouvriers qualifiés","CSP des salariés : Ouvriers non qualifiés","CSP des salariés : Apprentis","Domaine d'emploi : Collectivités territoriales","Domaine d'emploi : Établissements publics locaux","Domaine d'emploi : Établissements sanitaires et médico-sociaux","Domaine d'emploi : Établissements publics nationaux","Domaine d'emploi : EPIC","Domaine d'emploi : Associations","Domaine d'emploi : Entreprises individuelles et particuliers employeurs","Domaine d'emploi : Sociétés","Activité A17 : AZ-Agriculture, sylviculture, et pêche","Activité A17 : DE-Industries extractives,  énergie, eau, gestion des déchets et dépollution","Activité A17 : C1-Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac","Activité A17 : C2-Cokéfaction et raffinage","Activité A17 : C3-Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines","Activité A17 : C4-Fabrication de matériels de transport","Activité A17 : C5-Fabrication d'autres produits industriels","Activité A17 : FZ-Construction","Activité A17 : GZ-Commerce ; réparation d'automobiles et de motocycles","Activité A17 : HZ-Transports et entreposage","Activité A17 : IZ-Hébergement et restauration","Activité A17 : JZ-Information et communication","Activité A17 : KZ-Activités financières et d'assurance","Activité A17 : LZ-Activités immobilières","Activité A17 : MN-Activités scientifiques et techniques ; services administratifs et de soutien","Activité A17 : OQ-Administration publique, enseignement, santé humaine et action sociale","Activité A17 : RU-Autres activités de services"
"91","34701","34172","Montpellier","0301","AGROPOLIS",0,933,490,443,112,126,305,261,73,56,153,95,58,628,305,162,231,294,182,101,81,11,38,17,98,64,14,119,61,522,5,6,9,0,15,0,16,38,118,19,72,29,24,6,232,276,68
"91","34701","34172","Montpellier","0401","BLAYAC",0,1214,731,483,158,113,444,283,129,87,356,258,98,790,421,40,188,379,542,273,269,26,71,18,27,17,18,125,103,835,2,12,10,0,14,0,28,201,120,45,80,21,18,11,376,232,44
"91","34701","34172","Montpellier","0402","BOLOGNE",0,576,339,237,70,51,211,141,58,45,171,116,55,337,239,7,46,211,287,137,150,10,45,8,19,2,4,56,47,395,1,6,3,0,4,0,12,83,62,21,26,7,4,2,197,135,13
"91","34701","34172","Montpellier","0403","OXFORD",0,991,577,414,128,96,350,253,99,65,289,201,88,566,423,15,80,354,494,245,249,15,83,23,38,13,8,111,85,630,4,12,6,0,7,0,14,129,104,39,55,10,6,7,322,241,35
"91","34701","34172","Montpellier","0404","LE MAIL SUD",0,581,353,228,89,57,197,130,67,41,215,148,67,330,251,10,49,192,298,153,145,12,43,6,15,6,6,56,57,392,3,3,8,0,3,2,8,90,55,14,28,8,5,4,211,123,16
"91","34701","34172","Montpellier","0405","LE MAIL NORD",0,713,477,236,123,74,272,134,82,28,334,256,78,438,273,9,41,190,431,201,230,21,34,4,11,3,4,63,93,501,3,3,4,0,1,1,10,154,78,11,39,6,5,6,271,102,19
"91","34701","34172","Montpellier","0501","LES GARRIGUES",0,1426,783,643,170,174,488,362,125,107,406,265,141,922,502,37,178,547,594,311,283,42,99,35,51,25,18,167,111,920,5,9,17,0,16,3,25,166,173,59,98,19,17,5,409,347,58
"91","34701","34172","Montpellier","0502","LES GEMEAUX",0,1101,635,466,132,105,406,278,97,83,290,196,94,678,420,57,124,393,474,203,271,19,79,25,53,14,15,142,99,674,3,12,12,0,13,0,22,117,111,31,60,21,16,8,344,290,41
"91","34701","34172","Montpellier","0503","LES TOURS",0,809,454,355,100,68,271,212,83,75,199,131,68,504,303,48,102,304,323,152,171,10,91,21,43,17,14,95,58,470,0,3,8,0,6,0,17,78,71,34,47,10,11,6,261,217,40
"91","34701","34172","Montpellier","0602","CELLENEUVE",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
