"RÚgIE_ENTR","PROJET_O_N","DOM_PUBLIC","DOSSIER","O_N","NOM","CANTON","SS_QUARTIE","QUARTIER","QUARTIER0","SECTEUR","LIBSECTEUR","CAT?GORIE","LIBCATÚgOR","DATE_CR?AT","ADRESSE","PELOUSES","FLEURS","ARBUSTES","JEUX","ALL?ES","FRICHE","JARDINIERE","HAIES_LONG","WC_O_N","D?POT_JARD","ECLAIRAGE_","V?G?TAUX","BORNE_FONT","BASSINS_FO","DATE_MODIF","COORDONN?E","N_GEST","_LIBGESTI","N_MOEUVRE","_1_LIBGES","DATE_FICHE","GROUPE_ENT","LIBGROUPE","EAU_SURFAC","ROSIERS_SU","FEUILLUS_U","CONIFERE_U","PRAIRIE","PALMIERS_Q","BOISEMENT","XCOORD","YCOORD","ALLÚeS_NON","VIVACES","PROPRIÚt?","LIBPROPRI","UNIFIÚe","LIBTYPOLOG","SEV","NON_SEV","TOTALE","ARBRES","HORTICOLE","HISTORIQUE","ECOLOGIE","ACTIVIT?","COMPOSITIO","ZONE","CL¶tURÚ_O_","FERMETURE","LIBFERMETU","HANDICAPÚs","HANDICAP0","LIBEVOLUTI","ACCESSIBIL","MODIFICATI","TRAML1","BUS","MSEC","BALAYAGESE","NOMCOURT","LONGITUDE","LATITUDE"
"Non","Non","19700101",151,"Non","Maternelle Maria Calas (Chamberte)",8,7,"La Chamberte","Les CÚvennes","H","CÚvennes","Mat.","Maternelle","19700101","759 rue croix de Figuerolles",0,0,100,0,100,0,0,48,"Non","Non","Non","7 sophoras",0,0,34445,"F8",56,"Ecoles maternelles",1,"SEV",33633,2,"Normal",0,0,0,0,140,0,0,"721765,40816184","146014,00866932",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",340,0,340,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"11 - Pas du Loup (389 m)",0,"Non","Mat Calas","3,844934","43,604028"
"Non","Non","19700101",153,"Non","Maternelle Genevieve Bon (ex Petit Bard)",7,5,"Alco","Les CÚvennes","H","CÚvennes","Mat.","Maternelle","19700101","Rue d'Alco",0,0,297,0,0,0,0,190,"Non","Non","Non",,0,0,34445,"E11",56,"Ecoles maternelles",1,"SEV",33633,2,"Normal",0,0,0,0,0,0,0,"721289,49804496","147530,44664774",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",297,0,297,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"La Ronde - BelvÚdÞre (66 m)",0,"Non","Mat G Bon","3,839383","43,617753"
"Non","Non","19700101",155,"Non","Maternelle Madeleine Bres (ex  CÚvennes)",7,5,"Alco","Les CÚvennes","H","CÚvennes","Mat.","Maternelle","19700101","AllÚe de l'Aqueduc",0,0,150,0,0,0,0,54,"Non","Non","Non",,0,0,34445,"F11",56,"Ecoles maternelles",1,"SEV",33851,2,"Normal",0,0,0,0,60,0,0,"721489,82593427","147772,60585916",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",210,0,210,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"La Ronde - Jean Calvin (101 m)",0,"Non","Mat M Bres","3,841919","43,619899"
"Non","Non","19920130",158,"Non","Maternelle Picasso",9,1,"Les Hauts de Massane","La Mosson","F","Hauts de Massane","Mat.","Maternelle",,,161,0,751,0,0,0,0,147,"Non","Non","Non","platane, pin parasol",0,0,34445,"B16",56,"Ecoles maternelles",1,"SEV",33633,2,"Normal",0,0,8,0,0,0,0,"719484,76027621","150069,75504521",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",912,0,912,8,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"15 - Carriera (166 m)",0,"Non","Mat Picasso","3,817592","43,6409"
"Non","Non","19700101",173,"Non","Maternelle James Joyce (Bologne)",9,2,"La Mosson","La Mosson","F","Hauts de Massane","Mat.","Maternelle","19700101","Avenue de Bologne",0,0,913,0,0,0,0,100,"Non","Non","Non","sophora",0,0,34446,"B13",56,"Ecoles maternelles",1,"SEV",33633,2,"Normal",0,0,5,0,0,0,0,"719566,42594777","148641,60427928",32,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",913,0,945,5,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,"1 - Halles de la Paillade (132 m)","15 - Halles de la Paillade (59 m)",0,"Non","Mat Joyce","3,818286","43,628034"
"Non","Non","19700101",207,"Non","Maternelle Luis de Camoens (Aiguelongue)",3,18,"Aiguelongue","H¶pitaux-FacultÚs","D","H¶pitaux-FacultÚs","Mat.","Maternelle","19700101","Ave de la Justice de Castelnau",0,0,306,0,641,0,0,35,"Non","Non","Non","15 arbres",0,0,34445,"L13",56,"Ecoles maternelles",1,"SEV",33633,2,"Normal",0,0,0,0,0,0,0,"724521,23043759","148529,56360248",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",947,0,947,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,"2 - Aiguelongue (244 m)","La Ronde - Tourterelles (52 m)",0,"Non","Mat de Camoens","3,879647","43,626207"
"Non","Non","19700101",208,"Non","Maternelle Agrippa d'AubignÚ (Calmette)",2,16,"Plan des 4 Seigneurs","H¶pitaux-FacultÚs","D","H¶pitaux-FacultÚs","Mat.","Maternelle","19700101","Rue des quatre vents",1455,0,140,0,0,0,0,150,"Non","Non","Non","6 sophoras",0,0,34451,"H16",56,"Ecoles maternelles",1,"SEV",33633,2,"Normal",0,0,0,0,0,0,0,"722657,10900805","150158,77798448",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",1595,0,1595,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",37000,,"La Navette - Plan des 4 Seigneurs (Terminus) (48 m",0,"Non","Mat d'AubignÚ","3,856925","43,641181"
"Non","Non","19700101",209,"Non","Maternelle Sergue´ Prokofiev (Le Lez)",4,26,"La Pompignane","Port Marianne","L","Port Marianne","Mat.","Maternelle","19700101","Rue Alphonse Juin",0,0,142,0,0,0,0,95,"Non","Non","Non","21 arbres",0,0,34445,"N11",56,"Ecoles maternelles",1,"SEV",33679,2,"Normal",0,0,0,0,0,0,0,"725991,42273328","147715,84979398",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",142,0,142,0,0,0,0,0,0,"Est","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"La Ronde - Foyer des Aubes (15 m)",0,"Non","Mat Prokofiev","3,897671","43,618634"
"Non","Non","19700101",210,"Non","Maternelle Ingrid-Bergman (Jean Moulin)",4,24,"Les Aubes","Centre","E","Verdanson","Mat.","Maternelle","19700101","20 boulevard MouniÚ",0,58,0,0,0,0,0,0,"Non","Non","Non","7 arbres",0,0,34445,"M11",56,"Ecoles maternelles",1,"SEV",33633,2,"Normal",0,0,0,0,0,0,0,"725445,09305405","147722,26112727",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",58,0,58,0,0,0,0,0,0,"Centre","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"8 - Estragon (18 m)",0,"Non","Mat Bergman","3,890904","43,618785"
"Non","Non","19880101",211,"Non","Maternelle Charlie Chaplin (Jeu de Mail)",2,17,"H¶pitaux-FacultÚs","H¶pitaux-FacultÚs","D","H¶pitaux-FacultÚs","Mat.","Maternelle","19880101","Rue de la Jalade",0,0,426,0,0,0,0,84,"Non","Non","Non","15 arbres",0,0,34451,"i13",56,"Ecoles maternelles",1,"SEV",33679,2,"Normal",0,0,0,0,0,0,0,"723300,97503631","148514,32354794",1072,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",426,0,1498,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,"1 - Saint-Eloi (136 m)","La Navette - Saint-Eloi (112 m)",0,"Non","Mat C Chaplin","3,864525","43,626274"
"Non","Non","19700101",214,"Non","Maternelle MÞre ThÚresa (Vert-Bois)",3,18,"Aiguelongue","H¶pitaux-FacultÚs","D","H¶pitaux-FacultÚs","Mat.","Maternelle","19700101","Rue Antoine-Laurent Jussieux",300,0,1600,0,0,0,0,0,"Non","Non","Non","8 arbres",0,0,34445,"K15",56,"Ecoles maternelles",1,"SEV",33633,2,"Normal",0,0,0,0,0,0,0,"724026,82204761","149628,42408656",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",1900,0,1900,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"9 - RenÚ Bougnol (149 m)",0,"Non","Mat MÞre ThÚresa","3,873777","43,636179"
