Identifiant Observation,Ordre Observation,Nom Sélectionné,Numéro Nomenclatural Nom Selectionné,Nom Retenu,Numéro Nomenclatural Nom Retenu,Numéro Taxonomique,Famille,Référentiel Taxonomique,Code Insee,Commune,Lieu-Dit,Station,Milieu,Latitude,Longitude,Référentiel Géographique,Date Observation,Mots Clés,Commentaires,Date Création,Date Modification,Date Transmission
318479,1066,Diospyros kaki L.f.,22549,Diospyros kaki L.f.,22549,2631,Ebenaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-06-14 00:00:00,,,2011-05-06 11:42:00,2011-05-06 11:45:27,2011-05-06 11:45:27
318480,1067,Diospyros kaki L.f.,22549,Diospyros kaki L.f.,22549,2631,Ebenaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-06-14 00:00:00,,,2011-05-06 11:42:00,2011-05-06 11:45:27,2011-05-06 11:45:27
318481,1068,Diospyros kaki L.f.,22549,Diospyros kaki L.f.,22549,2631,Ebenaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-06-14 00:00:00,,,2011-05-06 11:42:00,2011-05-06 11:45:27,2011-05-06 11:45:27
318482,1069,Diospyros kaki L.f.,22549,Diospyros kaki L.f.,22549,2631,Ebenaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-06-14 00:00:00,,,2011-05-06 11:42:00,2011-05-06 11:45:27,2011-05-06 11:45:27
318483,1070,Diospyros kaki L.f.,22549,Diospyros kaki L.f.,22549,2631,Ebenaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-06-14 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318484,1071,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318485,1072,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318486,1073,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318487,1074,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318488,1075,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318489,1076,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318490,1077,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318491,1078,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318492,1079,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318493,1080,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318494,1081,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318495,1082,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318496,1083,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318497,1084,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318498,1085,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318499,1086,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318500,1087,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318501,1088,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318502,1089,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318503,1090,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318504,1091,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318505,1092,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318506,1093,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318507,1094,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318508,1095,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318509,1096,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318510,1097,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318511,1098,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318512,1099,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318513,1100,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318514,1101,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318515,1102,Arbutus unedo L.,6055,Arbutus unedo L.,6055,2648,Ericaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318516,1103,Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318517,1104,Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318518,1105,Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318519,1106,Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318520,1107,Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318521,1108,Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318522,1109,Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318523,1110,Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-06 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318524,1111,Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-19 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318525,1112,Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-19 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318526,1113,Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-19 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318527,1114,Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-19 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318528,1115,Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-19 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318529,1116,Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-19 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318530,1117,Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-19 00:00:00,,,2011-05-06 11:42:01,2011-05-06 11:45:27,2011-05-06 11:45:27
318531,1118,Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-19 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318532,1119,Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-19 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318563,1150,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318564,1151,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318565,1152,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318566,1153,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318567,1154,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318568,1155,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318569,1156,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318570,1157,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318571,1158,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318572,1159,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318573,1160,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318574,1161,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318575,1162,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318576,1163,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318577,1164,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318578,1165,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:02,2011-05-06 11:45:27,2011-05-06 11:45:27
318579,1166,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:03,2011-05-06 11:45:27,2011-05-06 11:45:27
318580,1167,Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:03,2011-05-06 11:45:27,2011-05-06 11:45:27
318644,1231,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318645,1232,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318646,1233,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318647,1234,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318648,1235,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318649,1236,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318650,1237,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318651,1238,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318652,1239,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318653,1240,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318654,1241,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318655,1242,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318656,1243,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318657,1244,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318658,1245,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318659,1246,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318660,1247,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318661,1248,Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318662,1249,Ginkgo biloba L.,30178,Ginkgo biloba L.,30178,7315,Ginkgoaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318663,1250,Ginkgo biloba L.,30178,Ginkgo biloba L.,30178,7315,Ginkgoaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
318664,1251,Ginkgo biloba L.,30178,Ginkgo biloba L.,30178,7315,Ginkgoaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,,,,"43,60818","3,87945",WGS84,2010-07-07 00:00:00,,,2011-05-06 11:42:04,2011-05-06 11:45:38,2011-05-06 11:45:38
