"Nom","Nom scientifique","Classe","Ordre","Famille","Zone","Zone détails","Poids","Catégorie","Gestation","Nombre de petits","Longévité","Organismes de protection",,"Points de vue"
"Mangabey à ventre doré","Cercocebus chrysogaster (Lydekker)","Mammifère","Primate","Cercopithécidé","Afrique","Forêts marécageuses","5-12 kg","Frugivore, Insectivore","5-6 mois","1","18 ans","UICN/CITES/ESB",,
"Marabout d’Afrique","Leptoptilos crumeniferus (Lesson)","Oiseau","Ciconiiforme","Ciconiidé","Afrique","Savane, Près des cours d'eau","4-6 kg","Carnivore, Charognard","1 mois d'incubation","2-5","25 ans","UICN/ESB",,
"Microcèbe","Microcebus murinus (J.F Miller)","Mammifère","Primate","Cheirogaléidé","Madagascar","Forêts, sous-bois","30-90 g","Omnivore","2 mois","2-3","15 ans","UICN",,
"Mouflon à manchettes","Ammotragus lervia (Pallas)","Mammifère","Artiodactyle","Bovidé","Afrique du nord","Montagnes sèches","40-140 kg","Herbivore","5 mois","1-2","20 ans","UICN/CITES",,
"Moustac","Cercopithecus cephus (Linné)","Mammifère","Primate","Cercopithécidé","Afrique","Forêts, Savane boisée","3-5 kg","Frugivore","5-6 mois","1","20-30 ans","UICN/CITES",,
"Muntjac de Reeve","Muntiacus reevesi (Ogilby)","Mammifère","Artiodactyle","Cervidé","Asie de l'est","Forêts épaisses, 2000m d'altitude","12-17 kg","Herbivore","6 mois","1","10 ans","UICN",,
"Nandou d’Amérique","Rhea americana (Linné)","Oiseau","Rhéiforme","Rhéidé","Amérique du sud","Pampa herbeuse","25 kg","Omnivore","35-40 jours d'incubation","10","30 ans","UICN/CITES",,
"Nyala","Tragelaphus angasii (Gray)","Mammifère","Artiodactyle","Bovidé","Afrique du sud","Savane arborée","60-120 kg","Herbivore","7 mois","1","15 ans","UICN/ESB",,
"Onagre de Perse","Equus hemionus onager (Boddaert)","Mammifère","Périssodactyle","Équidé","Nord de l'Iran","Steppes, Zones arides","250 kg","Herbivore","11-12 mois","1","25-30 ans","UICN/CITES/EEP",,
"Oryx algazelle","Oryx dammah (Cretzschmar)","Mammifère","Artiodactyle","Bovidé","Afrique","Zones arides","150-200 kg","Herbivore","9 mois","1","20 ans","UICN/CITES/EEP",,
"Oryx d’Arabie","Oryx leucoryx (Pallas)","Mammifère","Artiodactyle","Bovidé","Arabie saoudite","Savane, steppes","145-190 kg","Herbivore","9 mois","1","20 ans","UICN/CITES/EEP",,
"Oryx beisa","Oryx beisa (Rüppell)","Mammifère","Artiodactyle","Bovidé","Afrique","Savane, brousse","100-200 kg","Herbivore","9 mois","1","15 ans","UICN",,
"Ours brun de Syrie","Ursus arctos syriacus (Hemprich & Ehrenberg)","Mammifère","Carnivore","Ursidé","Ouest de l'Asie","Forêts, montagnes","150-700 kg","Omnivore","2-3 mois","1-3","20-25 ans","UICN/CITES/ESB",,
"Rhinocéros blanc","Ceratotherium simum (Burchell)","Mammifère","Périssodactyle","Rhinocérotidé","Afrique du nord","Savane","1400-2300 kg","Herbivore","16 mois","1","45 ans","UICN/CITES/EEP",,
"Singe hurleur noir","Alouatta caraya (Humboldt)","Mammifère","Primate","Atélidé","Amérique du sud","Forêts variées","6-11 kg","Folivore","6 mois","1","15 ans","UICN/CITES/ESB",,
"Takin du Tibet","Budorcas taxicolor tibetana (Milne-Edwards)","Mammifère","Artiodactyle","Bovidé","Tibet, Chine","Forêts d'altitude","Jusqu'à 350 kg","Herbivore","7 mois","1","20 ans","UICN/CITES/ESB",,
"Tapir terrestre","Tapirus terrestris (Linné)","Mammifère","Périssodactyle","Tapiridé","Amérique du sud","Forêts tropicales","200-250 kg","Omnivore","13 mois","1","30 ans","UICN/CITES/EEP",,
"Petit tenrec","Echinops telfairi (Martin)","Mammifère","Afrosoricide","Tenrécidé","Madagascar","Forêts sèches","110-230 g","Omnivore","2 mois","12-16","12 ans",,,
"Touraco pauline","Tauraco erythrolophus (Vieillot)","Oiseau","Cuculiforme","Musophagidé","Afrique","Forêts","210-325 g","Omnivore","21-24 jours d'incubation","2-3","5-9 ans","UICN/CITES/ESB",,
"Maki vari noir et blanc","Varecia variegata variegata (Kerr)","Mammifère","Primate","Lémuridé","Madagascar","Forêts humides","5-6 kg","Frugivore","4-5 mois","1-4","20 ans","UICN/CITES/EEP",,
"Maki vari roux","Varecia rubra (Geoffroy)","Mammifère","Primate","Lémuridé","Madagascar","Forêts humides","4-5 kg","Frugivore","4-5 mois","1-4","20 ans","UICN/CITES/EEP",,
"Perroquet vaza","Coracopsis vasa (Shaw)","Oiseau","Psittaciforme","Psittacidé","Madagascar","Forêts humides, Savane, Rizières","500 g","Frugivore","17 jours d'incubation","2-3","50 ans","UICN",,
"Vigogne","Vicugna vicugna (Molina)","Mammifère","Artiodactyle","Camélidé","Amérique du sud","Prairies semi-arides, Hautes plaines","46-50 kg","Herbivore","10 mois","1","25 ans","UICN/CITES/EEP",,
"Zèbre de Grévy","Equus grevyi (Oustalet)","Mammifère","Périssodactyle","Équidé","Afrique de l'est","Savane","350-450 kg","Herbivore","12 mois","1","25 ans","UICN/CITES/EEP",,
