"CIRCULATIO,C,50","CODCOMM,C,6","DOMAINE,C,50","HIERARCHIE,C,50","ID_ARC,N,10,0","F_ID_NODE,N,10,0","LONGUEUR,N,19,8","NOTES,C,80","NUM_D_D,N,10,0","NUM_D_F,N,10,0","NUM_G_D,N,10,0","NUM_G_F,N,10,0","NUMERO,C,20","OCCUPATION,C,50","PERIMETRE,N,19,8","RIVOLI,C,4","SUF_D_D,C,3","SUF_D_F,C,3","SUF_G_D,C,3","SUF_G_F,C,3","SURFACE,N,19,8","SYMBOL,N,10,0","T_ID_NODE,N,10,0","TYPE,C,50","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","SHAPE_LEN,N,19,11","tarifs2011,C,50"
"DOUBLE SENS","340172","Publique",,8513,6779,11,"Classée par acte notarié le 31/01/2008",0,0,0,0,,,0,"1582",,,,,0,0,6778,,"N",,,"10,9730963479",
"DOUBLE SENS","340172","Publique",,8514,6780,"11,69999981","Classée par acte notarié le 31/01/2008",0,0,0,0,,,0,"1582",,,,,0,0,6781,,"N",,,"11,7519385462",
"DOUBLE SENS","340172","Publique",,8515,6780,"18,70000076","Classée par acte notarié le 31/01/2008",0,0,0,0,,,0,"1582",,,,,0,0,6779,,"N",,,"18,7227448962",
"DOUBLE SENS","340172","Publique",,8516,6781,80,"Classée par acte notarié le 31/01/2008",0,0,0,0,,,0,"1582",,,,,0,0,3123,,"N",,,"80,0468980874",
"DOUBLE SENS","340172","Publique",,8517,6781,"17,89999962","Classée par acte notarié le 31/01/2008",0,0,0,0,,,0,"1582",,,,,0,0,6778,,"N",,,"17,9473401352",
"DOUBLE SENS","340172","Publique",,8552,2847,"162,8999939",,0,0,0,0,,,0,"2150",,,,,0,0,2839,,"N",,,"162,966036715",
"DOUBLE SENS","340172","Publique",,8572,6817,"141,80000305",,0,0,0,0,,,0,"541",,,,,0,0,4650,,"N",,,"141,828832488",
"DOUBLE SENS","340172","Publique",,8573,6817,"29,5",,0,0,0,0,,,0,"541",,,,,0,0,6818,,"N",,,"29,5516167627",
,,,,16572,496,"254,19999695",,0,0,0,0,,,0,,,,,,0,0,10537,,"N",,,"254,335825321",
"DOUBLE SENS","340172","Publique départementale",,16573,14537,"76,19999695","RD 65",0,0,0,0,,,0,"1678",,,,,0,0,1322,,"N",,,"76,1998099684",
