"ID_ARC,N,10,0","VOI_NOM,C,80","ACC_OIMP,C,10","ACV_ILAR,N,19,8","ACC_OPAI,C,10","ACV_PLAR,N,19,8","ACC_1I2P,C,21","Shape_LEN,N,19,11","SHAPE_FID,N,9,0"
4645,"Rue Marioge","Non","0,7","Non","0,5","Non_Non","71,502355878",5209
6455,"Rue de la Jasse de Maurin","Oui","5,15","Oui","4,8","Oui_Oui","211,688587976",6081
3067,"Rue de Ferran","Non",0,"Non",0,"Non_Non","205,819084044",6347
11876,"Rue Charles Perrault",,0,,0,"_","20,2593108955",7381
3797,"Rue de Pinville","Non","2,05","Non",2,"Non_Non","125,44298965",4622
5641,"Rue Chaptal","Non","1,2","Non",1,"Non_Non","20,1440857526",5574
299,"Rue de l'Aiguelongue","Non",0,"Oui","9,8","Non_Oui","46,0880043376",6577
3981,"Rue d'Aubeterre","Non",1,"Non","1,15","Non_Non","94,9633343499",4730
3193,"Rue de la Roqueturière","Non","1,7","Oui","3,3","Non_Oui","86,2096905258",4185
2704,"Rue des Seychelles","Non",0,"Non",0,"Non_Non","33,7853426195",3774
5897,"Avenue du Pont Trinquat","Non","2,05","Non","5,5","Non_Non","108,270956797",5550
5626,"Rue Rigaud","Non","1,35","Non","1,4","Non_Non","164,528892418",5524
1558,"Rue Julien Carette","Non","1,9","Non",1,"Non_Non","42,5683234193",6855
6101,"Rue du Jeu de Ballon","Non","0,8","Non","0,5","Non_Non","52,1760770615",5988
10233,"Rue Alain Colas","Non",0,"Non",0,"Non_Non","44,1833277574",7096
13233,"Avenue Marie de Montpellier","Non","1,1","Non","4,8","Non_Non","29,5416332785",6631
177,"Place Saint Denis","Oui",12,"Non",12,"Oui_Non","17,170772095",2333
3846,"Avenue Samuel Champlain","Non",4,"Oui","3,5","Non_Oui","38,4507524427",4652
4677,"Impasse Cantié","Oui","3,9","Non",0,"Oui_Non","22,171093911",5247
2235,"Rue de la Piscine","Non","1,45","Non","3,55","Non_Non","13,4289061316",3629
4521,"Rue de Braine","Non",1,"Non","1,1","Non_Non","64,6444279663",5132
6005,"Avenue de Maurin","Non","1,2","Non","1,45","Non_Non","468,021538223",6582
1193,"Rue Alfred Nobel","Non",10,"Non","4,3","Non_Non","220,272170014",2939
4545,"Rue des Amaryllis","Non","1,35","Non","1,15","Non_Non","72,713300418",4845
1852,"Rue Hébert","Non","1,1","Non","3,9","Non_Non","199,703582352",6864
3968,"Rue Alfred Cortot",,0,,0,"_","65,5589618204",364
3657,"Rue Henri Lacordaire",,0,,0,"_","119,8795633",365
4286,"Rue du Dahomey",,0,,0,"_","60,7857739653",366
4541,"Allée Guillaume Budé",,0,,0,"_","48,1839988346",367
4195,"Allée des Arts",,0,,0,"_","115,359815683",368
4221,"Rue du Cardinal de Cabrières",,0,,0,"_","23,0312267172",369
4223,"Rue Abbé Marcel Montels",,0,,0,"_","26,8986405733",370
4235,"Boulevard Louis Blanc",,0,,0,"_","18,4474572383",371
4401,"Rue Jacques Dalcroze",,0,,0,"_","85,0877698488",372
4411,"Allée Théodore de Bèze",,0,,0,"_","68,1745825264",373
4423,"Cour Veronèse",,0,,0,"_","95,4837963559",374
4427,"Square Fragonard",,0,,0,"_","92,9223145374",375
4535,"Impasse des Mimosas",,0,,0,"_","71,9156387561",376
4937,"Rue Murat",,0,,0,"_","44,3797368777",377
4940,"Rue Augereau",,0,,0,"_","64,9845209619",378
4942,"Rue Daumesnil",,0,,0,"_","111,420927039",379
4772,"Rue Sainte Croix",,0,,0,"_","82,9414279757",380
4773,"Rue Saint Pierre",,0,,0,"_","13,4183157252",381
4879,"Rue Léon Marès",,0,,0,"_","154,928634598",382
4487,"Impasse de Las Sorbes",,0,,0,"_","122,454716552",383
5292,"Place Saint Roch",,0,,0,"_","12,8194550996",384
5297,"Rue de la Fontaine","Oui",0,"Oui",0,"Oui_Oui","39,3855799543",385
5306,"Rue Jules Latreilhe",,0,,0,"_","66,4574279077",386
5317,"Rue Alexandre Cabanel",,0,,0,"_","96,4147191072",387
5318,"Rue Four des Flammes",,0,,0,"_","61,5122539361",388
5336,"Rue du Petit Scel",,0,,0,"_","44,7922499191",389
5346,"Impasse Ranchin",,0,,0,"_","19,0856695395",390
5348,"Rue Sainte Anne",,0,,0,"_","19,1300016372",391
5361,"Rue Saint Guilhem",,0,,0,"_","37,6768235122",392
5362,"Impasse Paran",,0,,0,"_","23,9147843655",393
5036,"Rue de l'Université",,0,,0,"_","33,2721879828",394
5038,"Rue Bonnier d'Alco",,0,,0,"_","45,1758629067",395
5058,"Rue Lallemand",,0,,0,"_","41,0771409094",396
5065,"Rue d'Aigrefeuille",,0,,0,"_","15,8779970365",397
5091,"Rue Haute",,0,,0,"_","22,6763385045",398
5095,"Rue Jean-Jacques Rousseau",,0,,0,"_","31,0484262976",399
5108,"Rue du Plan du Palais",,0,,0,"_","46,571627646",400
5109,"Rue du Palais des Guilhem",,0,,0,"_","29,1737975759",401
5110,"Rue de la Coquille",,0,,0,"_","49,5540390718",402
5127,"Rue Montgolfier","Oui",0,"Oui",0,"Oui_Oui","44,5399393692",403
5131,"Rue Massilian","Oui",0,"Oui",0,"Oui_Oui","40,8441345059",404
5144,"Les Trois Passages",,0,,0,"_","17,9164541372",405
5163,"Rue Glaize",,0,,0,"_","55,2062042208",406
5388,"Rue de l'Huile",,0,,0,"_","23,6680109414",407
5815,"Rue de Suez",,0,,0,"_","63,9824109209",408
2795,"Rue de la Croix de Lavit","Non","1,25","Non","1,3","Non_Non","346,014075812",4252
5516,"Rue Colin","Non","1,75","Non","0,65","Non_Non","87,0478116256",5811
10273,"Place de Chine","Non","21,1","Oui","21,1","Non_Oui","28,6969700381",7100
500,"Rue du Pas du Loup","Non",0,"Non",0,"Non_Non","16,9169507433",2493
1789,"Rue du Lavandin","Non","1,4","Non","5,65","Non_Non","59,1119998981",3390
2513,"Rue d'Oxford","Non",5,"Non","4,9","Non_Non","106,180457506",3868
591,"Impasse de la Providence",,0,,0,"_","12,7845501121",2393
1458,"Rue du Mas Nouguier","Oui","3,75","Non",10,"Oui_Non","47,9985889673",2810
12812,"Place d'Italie","Oui","4,85","Non",0,"Oui_Non","29,1185178416",6316
3060,"Rue de la Roqueturière","Oui","4,4","Oui","2,4","Oui_Oui","42,5320451452",4113
17193,"Rue de l'Aiguelongue","Non",0,"Non",0,"Non_Non","95,065304242",7165
6550,"Rue Jeanne Demessieux","Non","1,9","Non","4,7","Non_Non","103,126013778",6160
6415,"Allée du Merlot","Non","1,05","Non",0,"Non_Non","102,338028653",2030
743,"Rue Bouschet de Bernard","Non","1,1","Non",1,"Non_Non","65,6473460723",2535
543,"Rue Raimu","Oui","2,5","Oui","1,5","Oui_Oui","102,021587208",2310
6440,"Allée Jacques Sarazin","Non",0,"Non",0,"Non_Non","18,3386253522",6072
3937,"Rue de la Pépinière","Non",4,"Oui",2,"Non_Oui","80,6002643955",4697
1459,"Avenue du Colonel Pavelet","Non",10,"Non",2,"Non_Non","255,9905422",2811
3882,"Avenue de Palavas","Non","1,3","Non","1,15","Non_Non","132,790272465",4675
1676,"Rue de la Cour du Recteur","Non","1,2","Non","1,25","Non_Non","105,564798504",3332
1889,"Rue du Pas du Loup","Non","1,8","Non","1,05","Non_Non","81,7343646803",3161
6696,"Rue du Mas de Calenda","Non","3,85","Oui","6,45","Non_Oui","131,088111581",6092
561,"Rue Raimu","Oui","2,6","Non","1,4","Oui_Non","31,0456944638",2374
1808,"Rue Albert Viger","Oui","3,7","Oui","3,9","Oui_Oui","27,8096036529",3398
18812,"Boulevard Professeur Louis Vialleton","Oui","7,5","Oui",7,"Oui_Oui","39,7546629466",7584
4177,"Rue Bartholdi","Non","0,9","Non","4,7","Non_Non","33,0603803469",5040
12440,"Rue Charles de Tourtoulon","Non",0,"Non",0,"Non_Non","11,1522118869",7508
3160,"Avenue du Major Flandre","Non","1,1","Non","1,35","Non_Non","99,9125179491",4157
4206,"Rue du Faubourg Saint Jaumes","Oui","2,7","Non","4,6","Oui_Non","151,984493361",5063
821,"Rue du Grand Saint Jean","Non","1,5","Non","2,3","Non_Non","15,8658123489",2841
434,"Rue du Mas Saint Pierre","Non","1,45","Non","1,4","Non_Non","248,063017584",2563
6767,"Avenue de Maurin","Oui","2,05","Non","4,5","Oui_Non","75,0216809667",6394
2908,"Rue Saint-Priest","Non","12,1","Oui","3,91","Non_Oui","289,370605934",4006
5932,"Avenue des Prés d'Arènes","Non","1,35","Non","1,55","Non_Non","169,260654621",5911
61,"Avenue Jean Mermoz","Non","0,45","Non","3,5","Non_Non","68,3695777136",2203
2368,"Rue Breton","Non",0,"Non",0,"Non_Non","108,561068599",3568
1572,"Rue René Cassin","Non","1,25","Non","1,2","Non_Non","123,347329746",5696
6055,"Avenue du Pirée","Non","8,6","Non","1,5","Non_Non","54,4186003419",5979
1545,"Rue Albert Camus","Non","1,4","Non","1,5","Non_Non","36,5886330657",3230
4626,"Rue Gustave","Non","0,7","Non","0,7","Non_Non","67,6590455032",5191
2331,"Impasse des Moulins","Non","1,1","Non","1,15","Non_Non","127,140643595",3537
494,"Rue Pierre de Conques","Non","1,35","Non","1,15","Non_Non","205,516690587",2489
2077,"Rue Amy Mollisson","Non","0,5","Non","1,5","Non_Non","155,905321287",3442
1214,"Allée de la Méditerranée","Non",0,"Non","1,6","Non_Non","984,614393794",830
736,"Rue Pierre Fermaud","Non","0,9","Non","0,8","Non_Non","109,715858663",2529
129,"Boulevard d'Orient","Non",0,"Oui","5,3","Non_Oui","9,8714184472",2156
12719,"Rue des All Blacks",,0,,0,"_","118,139188263",457
12733,"Avenue du XV de France",,0,,0,"_","153,137788593",458
12734,"Avenue du XV de France",,0,,0,"_","143,706981573",459
5010,"Rue de l'Université",,0,,0,"_","17,5992814561",460
5012,"Rue de l'Université",,0,,0,"_","22,9104228737",461
5015,"Impasse Maillac",,0,,0,"_","31,1820153709",462
5019,"Rue du Four Saint Eloi",,0,,0,"_","35,3333748885",463
5172,"Rue de l'Aiguillerie",,0,,0,"_","84,687753676",464
5174,"Rue de l'Ecole de Pharmacie",,0,,0,"_","57,38779118",465
5178,"Rue Fournarié",,0,,0,"_","63,7989563551",466
5184,"Rue Delpech",,0,,0,"_","37,8108000153",467
5191,"Rue du Collège",,0,,0,"_","97,0250994444",468
5451,"Allée du Tiers-Etat",,0,,0,"_","162,487225969",469
17674,"Rond-point de l'Oasis",,0,,0,"_","50,7603066594",470
17612,"Square de Cos",,0,,0,"_","72,2876412607",471
18054,"Place de Jérusalem",,0,,0,"_","48,4581610694",472
16433,"Carrefour de Madrid",,0,,0,"_","17,8813883943",473
18072,"Place de Lisbonne",,0,,0,"_","15,94773828",474
6804,"Avenue Henri Frenay",,0,,0,"_","188,960640589",475
13172,"Allée Pluviose",,0,,0,"_","94,1755525703",477
333,"Allée Etienne Delessert",,0,,0,"_","84,7449457601",478
7948,"Rue Louis Martin Berthoud",,0,,0,"_","157,085027163",479
7950,"Rue William Kent",,0,,0,"_","22,0945005578",480
8050,"Rue Le Greco",,0,,0,"_","32,549529472",481
13913,"Parking Peyrou-Pitot",,0,,0,"_","50,7366125815",482
13972,"Rue Estelle",,0,,0,"_","50,8298602993",483
1872,"Rue Armand Lunel",,0,,0,"_","200,902798832",484
2181,"Rue Aristée",,0,,0,"_","108,685067805",485
2190,"Impasse des Jougtiers",,0,,0,"_","62,4832411106",486
8472,"Rue Jean Vilar",,0,,0,"_","79,0143260586",487
9153,"Rue Pablo Casals",,0,,0,"_","43,4987280879",489
2538,"Allée de la Mosson",,0,,0,"_","76,5178871988",490
2549,"Square Jupiter",,0,,0,"_","193,746263844",491
3001,"Allée Irène Popard",,0,,0,"_","55,6400091378",492
3003,"Rue Sonja Hénie",,0,,0,"_","267,846930301",493
3010,"Rue Georges Privat",,0,,0,"_","80,3151642461",494
9473,"Rue Nicolas Tesla",,0,,0,"_","70,7907710116",495
10072,"Rue Maurice Chauvet",,0,,0,"_","91,3222541228",496
15154,"Carrefour de Londres",,0,,0,"_","39,0437320313",497
15232,"Place Paul Vigné d'Octon",,0,,0,"_","54,6890666432",498
15252,"Parvis de la Légion d'Honneur",,0,,0,"_","27,4709120372",499
15713,"Rue Alexandre Langlade",,0,,0,"_","27,2058726537",500
3460,"Avenue du Château d'O",,0,,0,"_","73,1760503775",501
3462,"Avenue du Château d'O",,0,,0,"_","228,928646559",502
10432,"Rue du Clos de la Cerisaie",,0,,0,"_","29,1165901865",503
3991,"Avenue de Castelnau","Non","1,5","Non","4,4","Non_Non","228,653413925",4740
1362,"Avenue de Palavas","Non",3,"Oui","1,6","Non_Oui","20,126332772",2546
16735,"Rue de la Courbe","Non","9,1","Non","3,3","Non_Non","51,4387640612",7426
4873,"Rue de Claret","Non","3,5","Non","1,8","Non_Non","103,833873872",5316
4436,"Avenue Saint Clément","Non","2,05","Non","1,2","Non_Non","28,9876692359",4862
3979,"Rue Francis Garnier","Non",0,"Non","1,5","Non_Non","97,5300888026",4728
1062,"Avenue de Grammont","Non","2,5","Non","3,6","Non_Non","119,308333495",2636
