"ID","AREA,N,19,11","PERIMETER,N,19,11","BATIMENTS_,N,9,0","PATRLIB,C,36","CLEFPATR,C,8","CDCOL,C,1","CDPAT,C,5","CDELEM,C,2","CLASS,C,5","SYMBOLE,N,4,0","Shape_Leng,N,19,11","Shape_Area,N,19,11"
402,"7521,67118737","352,182810228",403,"Piscine olympique Neptune","00255000","0","02550","00","BT",104,"352,321590561","7527,60837611"
403,"455,993765578","115,874985384",404,"Mission Grand Coeur","00310900","0","03109","00","BM",109,"115,920893604","456,353596805"
404,"1025,4426625","149,895090075",405,"Hôtel de Région","70005900","7","00059","00","BT",104,"149,954364813","1026,25232387"
405,"891,014174903","123,80286459",406,"Ecole élémentaire Spinoza","00034202","0","00342","02","BC",109,"123,851720325","891,718296318"
406,"598,375319436","120,277873262",407,,"99999999","0","00000","0","NP",170,"120,325318241","598,849570369"
407,"859,398475027","161,658370013",408,,"99999999",,,,"NP",170,"161,722295983","860,077190742"
408,"126,884199968","45,2055627219",409,"Hôtel de Région","99999999","0","00000","0","BT",104,"45,2234146981","126,984315566"
409,"376,002946834","116,008326611",410,"Chambre de Commerce","70004500","7","00045","00","BT",104,"116,054054523","376,299711354"
410,"799,936494137","115,215525003",411,"FRANCE TELECOM - Polygone","70023600","7","00236","00","NP",170,"115,260897626","800,566822829"
411,"1169,56926569","239,550966372",412,"Ecole maternelle Jeanne Deroin","00034302","0","00343","02","BC",109,"239,645785785","1170,49524364"
412,"1191,73827734","216,032089999",413,,"99999999","0","00000","0","NP",170,"216,116842981","1192,6803487"
413,"3027,36418071","239,442297635",414,"Opéra Comédie","70059200","7","00592","00","BT",104,"239,537288597","3029,7555988"
414,"233,076696005","88,0011053926",415,"M.P.T. Joseph Ricôme","00052900","0","00529","00","BC",109,"88,0356138643","233,260081222"
415,"350,579278177","89,8749152261",416,"Collège Fontcarrade","70010900","7","00109","00","BT",104,"89,9106149697","350,855463446"
416,"2265,15503706","534,866676865",417,,"99999999","0","00000","0","NP",170,"535,07783788","2266,94271135"
417,"25,8446656211","20,3950291503",418,"M.P.T. Joseph Ricôme","00052900","0","00529","00","BC",109,"20,4029789283","25,8647837587"
418,"99,3051874833","40,824255472",419,"Poste de police municipale Gambetta","00012800","0","00128","00","BT",104,"40,8402798663","99,3832677939"
419,"747,054874786","110,552504669",420,,"99999999",,,,"NP",170,"110,596177834","747,646019133"
420,"87,4538812486","40,5688838128",421,"M.P.T. Joseph Ricôme","00052900","0","00529","00","BC",109,"40,5848035633","87,5232004757"
421,"737,786837455","109,641100129",422,,"99999999",,,,"NP",170,"109,684183628","738,367023999"
422,"593,542090697","119,501470215",423,,"99999999","0","00000","0","NP",170,"119,548320114","594,009670348"
423,"175,349115603","58,4952330948",424,"Halte-garderie André Chamson","00053200","0","00532","00","BC",109,"58,5182237149","175,48685557"
424,"1228,45355623","217,68469749",425,,"99999999","0","00000","0","NP",170,"217,770277424","1229,42377883"
425,"866,089859448","161,298204388",426,,"99999999",,,,"NP",170,"161,362022573","866,772131135"
426,"2082,49302189","269,650916089",427,"Hôtel d'Agglomération","00056300","0","00563","00","BT",104,"269,757494421","2084,13684385"
427,"119,704759401","73,0218747207",428,"Eglise Saint Roch","00070900","0","00709","00","CE",0,"73,0506322751","119,798208439"
428,"3567,81047502","331,314953165",429,"Médiathèque Emile Zola","70246200","7","02462","00","BT",104,"331,444713805","3570,6231937"
429,"1259,42423131","265,186997337",430,,"99999999","0","00000","0","NP",170,"265,291617194","1260,41675867"
430,"539,870382415","189,265550971",431,"Eglise Saint Roch","00070900","0","00709","00","BT",104,"189,340148771","540,297097439"
431,"52,3135406193","54,2173517997",432,,"88888888","0","00000","0","CE",0,"54,2387098762","52,3547040621"
432,"203,196015643","120,635801321",433,,"99999999","0","00000","0","BT",104,"120,683514599","203,356545112"
433,"353,432362389","75,3252504546",434,,"99999999",,,,"NP",170,"75,3550012576","353,711428679"
434,"457,074549991","180,803467045",435,"M.P.T. André Chamson","00053201","0","00532","01","BC",109,"180,874437786","457,434277838"
435,"397,666693692","79,7690785094",436,,"99999999","0","00000","0","NP",170,"79,8004393814","397,979465032"
436,"951,066040573","164,505438833",437,"M.P.T. André Chamson","00053202","0","00532","02","BC",109,"164,569660111","951,818891039"
437,"69,1990631151","57,5250305504",438,"Eglise Orthodoxe de France",,,,,"CE",0,"57,5476756676","69,2530685988"
438,"2266,77209049","534,524495907",439,,"99999999","0","00000","0","NP",170,"534,7357106","2268,55839305"
439,"244,712646266","130,053417618",440,"Eglise Orthodoxe de France",,,,,"BT",104,"130,10482408","244,906856506"
440,"2846,55850012","454,402417653",441,,"99999999","0","00000","0","NP",170,"454,582561404","2848,80073412"
441,"1592,04826566","276,738973009",442,,"00000000","0","00000","00","NP",170,"276,847871323","1593,30257475"
442,"856,808509329","172,360390296",443,"Ecole élémentaire Périclès","00026303","0","00263","03","BC",109,"172,428327245","857,483857007"
443,"917,302106317","169,082554199",444,"Ecole maternelle Aristote","00026302","0","00263","02","BC",109,"169,149101459","918,025133142"
444,"48,197421887","28,1183327898",445,"Galerie Saint Ravy","00056100","0","00561","00","BT",104,"28,1294313996","48,2353605433"
445,"24509,8883096","1356,65644097",446,"Centre Commercial le Polygone","99999999",,,,"NP",170,"1357,18867138","24529,212892"
446,"306,637319501","95,7287215789",447,"Ecole maternelle Pasteur","00034903","0","00349","03","BC",109,"95,7664562525","306,880033273"
447,"51,1858000002","53,6575481903",448,"Eglise Sainte Eulalie","00071300","0","00713","00","CE",0,"53,6786608588","51,2259034524"
448,"210,115009419","120,707182272",449,"Eglise Sainte Eulalie","00071300","0","00713","00","BT",104,"120,754473252","210,280086884"
449,"103,450503104","66,4396291559",450,,"88888888","0","00000","0","CE",0,"66,4659856027","103,532320158"
450,"2790,94507794","380,841328387",451,,"99999999",,,,"NP",170,"380,989953026","2793,13869658"
451,"456,32873119","158,721412558",452,,"99999999","0","00000","0","BT",104,"158,784276164","456,688269903"
452,"88,75544697","38,2634154688",453,"Poste - Comédie","70022000","7","00220","00","NP",170,"38,2784953397","88,8252505975"
453,"394,499015737","110,664460312",454,"Ecole élémentaire Lamartine","00034802","0","00348","02","BC",109,"110,708080952","394,809417067"
454,"1465,2646064","330,500178004",455,"Maison de Retraite les Violettes","99999999","0","00000","0","NP",170,"330,630316873","1466,41689691"
455,"2960,46540376","523,756148693",456,"Clinique Beau Soleil","70015500","7","00155","00","BT",104,"523,963051893","2962,79785144"
456,"54,2070094079","56,2701995203",457,"Pénitents Blancs","88888888","0","00000","0","CE",0,"56,2922810427","54,249560073"
457,"320,470762425","160,255802894",458,"Pénitents Blancs","99999999","0","00000","0","BT",104,"160,318862331","320,722532304"
458,"470,244865732","113,011229257",459,,,,,,"BM",109,"113,055899253","470,614217449"
459,"2375,30511256","207,0174819",460,"Salle des Rencontres","00054600","0","00546","00","BC",109,"207,098990883","2377,17516529"
460,"318,526566463","81,8659284423",461,"Musé Languedocien",,,,,"BT",104,"81,8978968873","318,77642923"
461,"868,820700103","155,226183237",462,"D.R Impôts","99999999",,,,"BT",104,"155,287494649","869,5033888"
462,"63,328231227","32,4447851223",463,,"70002600","7","00026","00","CI",0,"32,4574605504","63,3776917842"
463,"289,227231253","98,3709477382",464,"Moulin de l'Evèque","00007702","0","00077","02","BC",109,"98,4092952337","289,454379401"
464,"266,341984447","68,3203180358",465,"Gendarmerie Nationale","70001100","7","00011","00","BT",104,"68,3469952013","266,550560786"
465,"6294,99632812","511,011152051",466,"Hôtel de Ville","00053500","0","00535","00","BC",109,"511,211377044","6299,95440917"
466,"276,154162515","111,670590367",467,"Crèche Lagrèze","00022001","0","00220","01","BC",109,"111,714537631","276,371614937"
467,"1015,55850962","162,349564158",468,"DRCE","70001200","7","00012","00","BT",104,"162,413026729","1016,35732924"
468,"614,681162377","141,928754744",469,"Office du Tourisme","00057602","0","00576","02","BC",109,"141,98464812","615,165061936"
469,"946,886981302","155,706557133",470,"Direction Régionale de l'Equipement","70003600","7","00036","00","BT",104,"155,768094229","947,63285177"
470,"616,723481249","166,203243541",471,,"70002600","7","00026","0","NP",170,"166,268619512","617,210559183"
471,"827,584162823","140,353627931",472,"DRTE","99999999",,,,"BT",104,"140,408792491","828,234155387"
472,"1595,24416873","162,537463909",473,"D.A.P","70006800","7","00068","00","BC",109,"162,601412201","1596,50272874"
473,"26,9683874892","21,4357577166",474,"Crypte","00021500","0","00215","00","BT",104,"21,4442049419","26,9897826715"
