"AREA_,N,19,8","PERIMETER,N,19,8","BATIMENTS_,N,10,0","PATRLIB,C,36","CLEFPATR,C,8","CDCOL,C,1","CDPAT,C,5","CDELEM,C,2","CLASS,C,5","SYMBOLE,N,5,0","ID,N,10,0","AREA,N,19,11","LEN,N,19,11"
"11232,51630611","647,0061486",2,Midi Libre,,,,,NP,170,0,"11242,00223","647,280663"
"625,296075","105,49726685",5,Ecolothèque,,,,,BT,104,0,"625,8215","105,541426"
"327,30138443","75,4498399",6,Ecolothèque,,,,,BT,104,0,"327,57598","75,48165"
"605,58356251","117,64786899",7,Ecolothèque,,,,,BT,104,0,"606,0917","117,697011"
"822,74632203","144,85238496",8,Salle Victoire II,,,,,BT,104,0,"823,43912","144,913592"
"2134,02066868","221,0327491",9,Complexe sportif Albert Batteux,00327700,0,03277,00,BC,109,0,"2135,81213","221,126"
"16282,44063123","528,42998496",11,Métro,,,,,NP,170,0,"16296,12067","528,651994"
"1073,71590214","159,85348654",12,M.U.C,,,,,NP,170,0,"1074,61611","159,92003"
"541,12438123","119,86801631",13,Unité de Méthanisation,,,,,NP,170,0,"541,5771","119,917795"
"6170,65622198","347,03293828",14,Unité de Méthanisation,,,,,NP,170,0,"6175,80964","347,177722"
"483,75348748","95,02510218",16,Unité de Méthanisation,,,,,NP,170,0,"484,15645","95,064949"
"483,75388117","95,02390025",17,Unité de Méthanisation,,,,,NP,170,0,"484,15895","95,063829"
"482,82957195","94,97557219",18,Unité de Méthanisation,,,,,NP,170,0,"483,23318","95,015428"
"484,83005616","95,09880522",19,Unité de Méthanisation,,,,,NP,170,0,"485,23659","95,138834"
"251,06965006","72,14229953",21,Centre T.A.M  La jeune Parque,00123600,0,01236,00,BT,104,0,"251,27837","72,172355"
"253,47348742","74,85493399",23,Centre T.A.M  La jeune Parque,00123600,0,01236,00,BT,104,0,"253,6853","74,886293"
"498,61846564","134,83861278",24,Maison de Quartier JP Caillens,00089800,0,00898,00,BC,109,0,"499,03078","134,894882"
"281,61318747","59,59458774",26,Maera Usine d'assainissement,,,,,NP,170,0,"281,84548","59,619156"
"1199,2609217","179,6917609",27,Parc du Mas Nouguier,,,,,BC,109,0,"1200,25602","179,766304"
"214,69669371","52,0107613",29,Maera Usine d'assainissement,,,,,NP,170,0,"214,87374","52,032205"
"238,94718127","64,62732936",30,Maera Usine d'assainissement,,,,,NP,170,0,"239,14481","64,654282"
"1916,31437496","221,11386896",32,Usine de Tri Demeter,00109400,0,01094,00,BT,104,0,"1917,8983","221,205268"
"1778,77272506","171,21751562",34,M.I.N Marché Gare,99999999,0,00000,0,NP,170,0,"1780,24433","171,288462"
"567,36301561","84,55145824",35,Maera Usine d'assainissement,,,,,NP,170,0,"567,83122","84,586337"
"581,88474374","85,62293082",38,Maera Usine d'assainissement,,,,,NP,170,0,"582,36376","85,65817"
"3019,03419732","453,31506701",39,Domaine de Saporta,99999999,0,00000,0,NP,170,0,"3021,52702","453,502144"
"1167,26532816","121,26900667",41,Maera Usine d'assainissement,,,,,NP,170,0,"1168,22588","121,318895"
"319,90883118","75,44083602",42,Maera Usine d'assainissement,,,,,NP,170,0,"320,1725","75,471742"
