"CAR_NUM,C,50","CAR_LIEU,C,254","SON_NIVEAU,C,50","Coord_X,C,50","Coord_Y,C,50"
964,Villeneuve D'Angoulême / Arnel / Foucaud,Aucun,"3,86612654451665","43,5908887029583"
959,Accès Riverains Villeneuve D'Angoulême,Aucun,"3,86517354713184","43,5872061269395"
958,Villeneuve D'Angoulême / Bachelard,Partiel,"3,86438279803388","43,5864601048328"
956,Villeneuve D'Angoulême / Paul Valéry,Aucun,"3,86209171210789","43,5856926645591"
954,Parking Sabines,Partiel,"3,85982861372582","43,5839048030935"
953,Madeleine / Méhul,Aucun,"3,86067183805166","43,5814281075611"
78,Justice De Castelnau / Contre-Allée Draye,Aucun,"3,89160854950774","43,6273749231818"
100-2,Place Du 11 Novembre,Partiel,"3,88287080359393","43,614544783146"
511-2,Place Du 8 Mai 1945 (Coté Clémenceau),Partiel,"3,86788603988916","43,6010263527119"
852-2,Place De La Voie Domitienne,Aucun,"3,87034645421451","43,6297654921664"
875-2,Place Ernest Granier,Partiel,"3,90112651791473","43,6017116594871"
875-3,Place Ernest Granier,Aucun,"3,90135565727903","43,6021145553018"
875-4,Place Ernest Granier,Aucun,"3,90076877706923","43,6023420602877"
766,Passage piéton / Accès Citroen,,"3,88367877978844","43,590989450464"
627,Lavérune / Chasseurs,Aucun,"3,85528413224943","43,6028783866895"
625,Lavérune / Figairasse,Tout,"3,85835348566259","43,6041467739018"
631,Croix Du Capitaine / Edouard VII,Aucun,"3,8636530544574","43,6028020956563"
703,Moularès / Pont Trinquat,Partiel,"3,89277213910313","43,5973929621377"
704,Moularès / Améthyste,Partiel,"3,89184564978751","43,5959824519686"
705,Moularès / Centrayrargues,Tout,"3,89062944889933","43,5948184739392"
658,Palavas / Centrayrargues,Partiel,"3,88825525790985","43,5951920347768"
706,Moularès / Palavas,Tout,"3,88976088957366","43,5928433054758"
654,Dubout / Citée Mion,Aucun,"3,88342023645612","43,5969781190701"
653,Dubout / Leclerc,Partiel,"3,88047303311894","43,5969188771498"
643,Passage Piéton / Maurin / Citée Fleurie,Aucun,"3,87366288717891","43,591615965039"
628,Lavérune / Lavandin,Aucun,"3,85021784715169","43,6009919597462"
629,Lavérune / Robespierre,Tout,"3,84544553352499","43,6008007708354"
630,Lavérune / Danton,Aucun,"3,84306819340422","43,5995680729337"
718,Lavérune / Mr Teste,Tout,"3,84152501819717","43,5984065407793"
717,Vanières / Pas Du Loup / Topaze,Aucun,"3,84495462513984","43,5966005778373"
801,Passage Piéton / Lavérune / Mas Prunet,Tout,"3,83881351320024","43,5969887516757"
661,Industrie / Marché Gare,Aucun,"3,88212710568709","43,5852496099799"
659,Pont Trinquat / Origan,Aucun,"3,88822428149976","43,5997994603909"
836,Soulas / Château D'O,Aucun,"3,84391201834366","43,6295992916489"
854,Val De Montferrand / Chênaie,Aucun,"3,87323083967333","43,6346653456883"
856,Val De Montferrand / Sortie Fac De Lettres,Aucun,"3,87203281407269","43,6326052649775"
823,Europe / Uppsala / Lauraguais,Aucun,"3,82247582438132","43,6294335202414"
821,Europe / Oxford / Blayac,Aucun,"3,82189037520074","43,6269797982651"
833,Soulas / Muriers,Aucun,"3,84986881736681","43,6256222944009"
501,Saint Vincent De Paul / Marie Caizergues,Aucun,"3,87620133534275","43,6205102586373"
609,Assas / Las Sorbès,Aucun,"3,86121412065316","43,6170224998416"
407,Passage Piéton / Bouisson Bertrand,Aucun,"3,8716274369136","43,6182455452478"
830,Ravaz / Casseyrols / Cévennes,Partiel,"3,84649531946796","43,6219625900231"
723-1,Rimbaud / Ravaz / Marès,Aucun,"3,8506410362181","43,6200557303103"
612,Agriculture / Las Cazes / Ravaz,Aucun,"3,85348371488843","43,6177982043777"
621,Passage Piéton / Liberté / Craponne,Aucun,"3,86496504897154","43,6047334989866"
624,Figuerolles / Claret,Aucun,"3,86240651254141","43,605862635469"
660,Passage Piéton / Liberté / Guirlande,Aucun,"3,86170280054759","43,6085273214847"
502,Castelnau / Proudhon / Aubeterre,Aucun,"3,87852022831404","43,6182124106143"
406,Lakanal / Fabre,Aucun,"3,87835251682744","43,6167319040573"
870,Mondial / Samuel Morse,Aucun,"3,91320433875469","43,6065864556152"
205,Michelet / Etats Du Languedoc,Tout,"3,88579923855166","43,607155269073"
709,Mas d'Argeliers / Marché gare,Partiel,"3,88741298629835","43,5832935892201"
710,Montels-église / Bessède,Aucun,"3,87739401616696","43,5789080114735"
