"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"ALIZES              ","Carrefour des Alizés                                            ",1,99999,"I","Ecole Elémentaire Jacques BREL                              "
"ALIZES              ","Carrefour des Alizés                                            ",2,99998,"P","Ecole Elémentaire Jacques BREL                              "
"ALKINOOS            ","Rue des Jardins d'Alkinoos                                      ",1,99999,"I","Ecole Primaire François MITTERAND (élément)                 "
"ALKINOOS            ","Rue des Jardins d'Alkinoos                                      ",2,99998,"P","Ecole Primaire François MITTERAND (élément)                 "
"ALL BLACKS          ","Rue des All Blacks                                              ",2,99998,"P","Ecole Primaire OLYMPE DE GOUGES (Element )                  "
"ALL BLACKS          ","Rue des All Blacks                                              ",1,99999,"I","Ecole Primaire OLYMPE DE GOUGES (Element )                  "
"ALLAIS              ","Rue Alphonse Allais                                             ",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"ALLAIS              ","Rue Alphonse Allais                                             ",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"ALLEGRET            ","Rue Frères Allegret                                             ",1,99999,"I","Ecole Primaire Winston CHURCHILL                            "
"ALLEGRET            ","Rue Frères Allegret                                             ",2,99998,"P","Ecole Primaire Winston CHURCHILL                            "
"ALLENDE             ","Place Salvador Allende                                          ",1,99999,"I","Ecole Elémentaire Jules FERRY                               "
"ALLENDE             ","Place Salvador Allende                                          ",2,99998,"P","Ecole Elémentaire Jules FERRY                               "
"ALMERAS             ","Rue d'Alméras                                                   ",2,99998,"P","Ecole Elémentaire GAMBETTA                                  "
"ALMERAS             ","Rue d'Alméras                                                   ",1,99999,"I","Ecole Elémentaire GAMBETTA                                  "
"ALOUETTES           ","Rue des Alouettes                                               ",1,99999,"I","Ecole Elémentaire Sigmund FREUD                             "
"ALOUETTES           ","Rue des Alouettes                                               ",2,99998,"P","Ecole Elémentaire Sigmund FREUD                             "
"ALPHAND             ","Avenue Adolphe Alphand                                          ",1,99999,"I","Ecole Primaire François MITTERAND (élément)                 "
"ALPHAND             ","Avenue Adolphe Alphand                                          ",2,99998,"P","Ecole Primaire François MITTERAND (élément)                 "
"ALPILLES            ","Rue des Alpilles                                                ",1,99999,"I","Ecole Elémentaire Sigmund FREUD                             "
