"RÚgIE_ENTR","PROJET_O_N","DOM_PUBLIC","DOSSIER","O_N","NOM","CANTON","SS_QUARTIE","QUARTIER","QUARTIER0","SECTEUR","LIBSECTEUR","CAT?GORIE","LIBCATÚgOR","DATE_CR?AT","ADRESSE","PELOUSES","FLEURS","ARBUSTES","JEUX","ALL?ES","FRICHE","JARDINIERE","HAIES_LONG","WC_O_N","D?POT_JARD","ECLAIRAGE_","V?G?TAUX","BORNE_FONT","BASSINS_FO","DATE_MODIF","COORDONN?E","N_GEST","_LIBGESTI","N_MOEUVRE","_1_LIBGES","DATE_FICHE","GROUPE_ENT","LIBGROUPE","EAU_SURFAC","ROSIERS_SU","FEUILLUS_U","CONIFERE_U","PRAIRIE","AUTEUR_FIC","PALMIERS_Q","BOISEMENT","XCOORD","YCOORD","ALLÚeS_NON","VIVACES","PROPRIÚt?","LIBPROPRI","UNIFIÚe","LIBTYPOLOG","SEV","NON_SEV","TOTALE","ARBRES","HORTICOLE","HISTORIQUE","ECOLOGIE","ACTIVIT?","COMPOSITIO","ZONE","CL¶tURÚ_O_","FERMETURE","LIBFERMETU","HANDICAPÚs","HANDICAP0","LIBEVOLUTI","ACCESSIBIL","MODIFICATI","TRAML1","BUS","MSEC","BALAYAGESE","NOMCOURT","LONGITUDE","LATITUDE"
"Non","Non","19890101",300,"Non","Jardin des Beaux Arts -  MPT Chopin",3,28,"Les Beaux Arts","Centre","E","Verdanson","Square","Square (inf Ó 1ha)","01/01/1850","19 avenue de N¯mes, 3 rue du marchÚ aux bestiaux",60,0,60,0,380,0,10,0,"Non","Non","Oui","3 trachycarpus fortunei, 3 c humilis, 1 gros celtis",0,0,34451,"L11",11,"Maisons pour tous",1,"SEV",33633,2,"Normal",0,0,1,0,0,"Pical",6,1160,"724881,52634763","147396,85968693",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",1670,0,1670,7,2,2,0,0,1,"Centre","Oui",1,"Portail","Non",0,"Pas d'Úvolution possible","Non",39253,"2 - Beaux Arts (140 m)","9 - Proudhon (130 m)",0,"Non","Jardin Beaux Arts","3,883848","43,615952"
"Oui","Non","19890101",303,"Non","Square des AmÚthystes",5,14,"Les Aiguerelles","PrÞs d'ArÞnes","I","PrÞs d'ArÞnes","Square","Square (inf Ó 1ha)","19890101","Rue de l'AmÚthystes",0,0,0,0,260,0,0,10,"Non","Non","Non","sophoras",0,0,34445,"M7",1,"SEV",50,"Sariviere",33717,3,"Rustique",0,0,0,0,0,,0,0,"725460,43821241","145243,17722118",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",260,0,260,0,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"16 - Luculus (179 m)",0,"Oui","Sq  AmÚthystes","3,890515","43,596472"
"Non","Non","19880101",304,"Non","Square Saint-ClÚophas",6,10,"Lemasson","Croix d'Argent","W","Croix d'Argent","Square","Square (inf Ó 1ha)","19880101","Route de Toulouse",110,0,12,0,100,0,0,10,"Non","Non","Non","1cÞdre, laurier rose",0,1,35076,"J8",1,"SEV",1,"SEV",33717,2,"Normal",0,0,0,1,0,,0,0,"723600,7311435","145629,53887967",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",222,0,222,1,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"6 - Saint-ClÚophas (95 m)",0,"Non","Sq St-ClÚophas","3,867575","43,600263"
"Non","Non","19900101",315,"Non","Jardin H¶tel de Sully",1,28,"Les Beaux Arts","Centre","A","Ecusson","Square","Square (inf Ó 1ha)","01/01/1890","Descente En Barrat",1000,0,300,0,900,0,0,0,"Non","Non","Oui","10 cyprÞs, 3 trachycarpus fortune´, 7 micocouliers, 2 sophoras, 1 judÚe, 5 chamaerops humilis , 1 Phoenix dactylifera, 1 magnolia grandiflora, 1 magnolia soulangeana, 1 olea europea",0,0,35081,"L10",1,"SEV",1,"SEV",33675,1,"Prestige",0,0,14,11,0,,8,0,"724633,58642587","147096,0525415",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",2200,0,2200,33,2,3,0,1,3,"Centre","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,"1 et 2 - Corum (175 m)","9 - Corum (229 m)",0,"Oui","H¶tel Sully","3,880707","43,613288"
"Oui","Non","19850101",334,"Non","Aire de jeux Vert-bois",2,17,"H¶pitaux-FacultÚs","H¶pitaux-FacultÚs","D","H¶pitaux-FacultÚs","Square","Square (inf Ó 1ha)","19850101","Rue Ali Ben Checal",1210,0,80,2100,80,1250,0,0,"Non","Non","Non",,0,0,35072,"j16",1,"SEV",25,"Clanet",33633,3,"Rustique",0,0,0,0,0,,0,0,"723565,10094703","149976,31774532",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",4720,0,4720,0,0,0,0,0,0,"Nord-Ouest","Oui",2,"Tourniquet","Non",3,"Plusieurs amÚnagements Ó modifier","Non",39598,,"La Navette - C.N.R.S. (162 m)",0,"Oui","Jeux Vert-bois","3,868067","43,638901"
"Oui","Non","19900101",375,"Non","Square rue des Loutres",3,19,"Boutonnet","Centre","E","Verdanson","Square","Square (inf Ó 1ha)","19900101","rue des Loutres",0,0,0,0,0,0,0,0,"Non","Non","Non",,0,0,34862,"K12",1,"SEV",25,"Clanet",33644,3,"Rustique",0,0,0,0,72,,0,0,"724300,722614","148280,57264247",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",72,0,72,0,0,0,0,0,0,"Centre","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"La Ronde - Sainte-Catherine (300 m)",0,"Non","Sq Loutres","3,876857","43,624003"
"Oui","Non","19900101",406,"Non","Square de Diane",7,9,"Estanove","Croix d'Argent","W","Croix d'Argent","Square","Square (inf Ó 1ha)","19900101","rue des chasseurs",0,0,300,0,90,0,0,0,"Non","Non","Non","cÞdre, tulipier, liquidambar",0,0,34445,"i7",1,"SEV",50,"Sariviere",33681,2,"Normal",0,0,46,1,1100,,0,0,"723009,94254655","145577,40738277",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",1490,0,1490,47,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"7 - Lepic (231 m)",0,"Oui","Sq de Diane","3,860248","43,599892"
"Oui","Non","19900101",435,"Non","Square rue des Castors",3,19,"Boutonnet","Centre","E","Verdanson","Square","Square (inf Ó 1ha)","19900101","rue des Castors",0,0,125,0,0,925,0,0,"Non","Non","Oui","prunus,sophoras,saule",0,0,34451,"K12",1,"SEV",50,"Sariviere",33633,3,"Rustique",0,0,0,0,100,,0,0,"724260,15253778","148208,99693806",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",1150,0,1150,0,0,0,0,0,0,"Centre","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",39825,,"La Ronde - Sainte-Catherine (380 m)",0,"Non","Sq Castors","3,876339","43,623366"
"Non","Non","19910607",457,"Non","Square Charles Flahaut",3,28,"Les Beaux Arts","Centre","E","Verdanson","Square","Square (inf Ó 1ha)","01/01/1850","Rue Ferdinand Fabre",0,0,161,0,300,0,0,53,"Non","Non","Non","1murier,2sophoras,5cyprÞs,oliv",1,1,34451,"K11",1,"SEV",1,"SEV",33679,2,"Normal",5,0,0,0,0,,0,0,"724457,64262382","147516,36273527",0,300,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",766,0,766,0,3,2,2,2,2,"Centre","Oui",1,"Portail","Oui",1,"Circulations Ó modifier","Oui",,"1 - Louis Blanc (266 m)","4 - Proudhon (300 m)",0,"Oui","Sq Flahaut","3,878625","43,617099"
"Oui","Non","19931215",458,"Non","Square Docteur Fourcade",5,14,"Les Aiguerelles","PrÞs d'ArÞnes","I","PrÞs d'ArÞnes","Square","Square (inf Ó 1ha)","19931215","Avenue Dr Jacques Fourcade/ MÚtairie de Saysset",0,0,0,70,0,0,0,0,"Non","Non","Non","7 pins, 1 robinier",0,0,34737,"N5",1,"SEV",50,"Sariviere",33633,3,"Rustique",0,0,1,7,3308,"Leprince",0,0,"725808,22676735","144432,0910083",730,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",3378,0,4108,8,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"16 - Garcia Lorca (204 m)",0,"Oui","Sq Dr Fourcade","3,894632","43,589113"
